theme3_id,cluster2_id,target_mode,claim_type_mode,first_date,last_date,occurrences,status_at_eval,confidence,as_of_date,theme_reason,theme_sources,representative_quote
theme3_03bbb277b41d,cluster2_0e574251b500,general_ai,predictive,2023-02-14,2023-02-14,1,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/,"What aspects of Cicero’s execution architecture, training architecture, or general methodological approach will be useful if we want to build an AI that is useful for some complex interaction with people outside the closed and limited world of Diplomacy?"
theme3_03bbb277b41d,cluster2_f11e503ec1e8,general_ai,predictive,2024-02-24,2024-02-24,1,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/,License to the author via cartoonstock.com I do think AI will eventually work reliably.
theme3_03bbb277b41d,cluster2_2f4ad17f0289,general_ai,predictive,2024-11-23,2024-11-23,1,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/,"He still thinks that symbol-manipulation, as discussed in his 2001 book The Algebraic Mind and again in the second half of “Deep learning is hitting a wall” will be part of the solution."
theme3_03bbb277b41d,cluster2_d36f004b16c8,general_ai,predictive,2025-01-29,2025-01-29,1,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/,"For example he writes authoritatively (chatbot-style!) that ""Making AI that is smarter than almost all humans at almost all things will require millions of chips, tens of billions of dollars (at least), and is most likely to happen in 2026-2027."" We don't actual KNOW this; we humans are flexible, general, resourceful thinkers but it is not at all clear that we actually need the equivalent of millions of chips to achieve what we do."
theme3_03bbb277b41d,cluster2_fe3ae5216bca,general_ai,predictive,2025-08-23,2025-08-23,1,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/,"Here they are, crowing about supposed AI efficiencies, thought by some to preening before the market before a possible IPO, in 2024: And here they are again, walking it all back in February 2025."
theme3_03bbb277b41d,cluster2_929eb1cd2f1e,general_ai,predictive,2025-10-27,2025-10-27,1,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/,"More likely, to my mind, is that generative AI will become a mildly useful, widely used commodity that never makes much money for anyone other than chip companies."
theme3_03bbb277b41d,cluster2_17c7e772b7fb,general_ai,predictive,2025-12-23,2025-12-23,1,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/,"The Information quotes an exec there as saying that trust in generative AI (you know, the kind that you need all those data centers for) has declined over the last year: Needless to say, the speculative America, buying chips and building data centers on the hope that it will pay off, is at odds with the growing disappointment."
theme3_03bbb277b41d,cluster2_f1af3589377c,general_ai,predictive,2026-02-10,2026-02-10,1,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/,Let me add that I do think that some form of AI will eventually actually yield the returns people were anticipating for Generative AI.
theme3_0572199dc099,cluster2_19e8b2680f29,general_ai,normative,2023-02-11,2023-02-11,1,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/,"Ernie Davis and I pushed this idea in Rebooting AI; Brachmann and Levesque do even better here in the beautiful pass in their new book Machines Like Us, outlining what a minimal kernel of commonsense for an AI might look like : Humans know these things; if AI’s are to understand language, they should refract language through this sort basic understanding of common sense, rather than needlessly starting as blank slates and acquiring statistics without concepts."
theme3_0572199dc099,cluster2_666fe4856715,general_ai,normative,2023-10-10,2023-10-10,1,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/,"For example, you should really check out Macarthur Award winner Yejin Choi’s recent TED talk She concludes that we still have a long way to go, saying for example that “So my position is that giving true … common sense to AI, is still moonshot”."
theme3_0572199dc099,cluster2_e8f5b74f7c7b,general_ai,normative,2023-10-10,2025-03-09,3,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/,Geoffrey Hinton: I think in five years' time it may well be able to reason better than us Gary Marcus: In 2016 you said that it was “quite obvious that we should stop training radiologists” because deep learning was getting so good.
theme3_0572199dc099,cluster2_29a85a7a0dc7,general_ai,normative,2023-10-14,2023-10-14,1,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/,"Our focus should be on figuring on how to build AI that can represent and reason about *values*, rather than simply perpetuating past data ”."
theme3_0572199dc099,cluster2_897356579f46,general_ai,normative,2024-01-08,2024-01-08,1,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/,"If the current batch of AI companies cannot create AI that performs reasonably well based on public domain sources and whatever they are prepared to pay to license, they should go back to the drawing board—and figure out how to build software that doesn’t have a plagiarism problem—rather than fleecing artists, writers, and other content providers."
theme3_0572199dc099,cluster2_d3981a54e2ae,general_ai,normative,2025-02-09,2025-02-09,1,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/,"Another of the key suggestions I made in 2022 was that we should use neurosymbolic techniques, combining neural networks with classical symbolic techniques such as rules."
theme3_0572199dc099,cluster2_39a67cebaa8b,general_ai,normative,2025-07-13,2025-07-13,1,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/,"But one of the main points of the paper was its call for the integration of neural networks and symbols: Another place that we should look is towards classic, “symbolic” AI, sometimes referred to as GOFAI (Good Old-Fashioned AI)."
theme3_0572199dc099,cluster2_58b81190bb46,general_ai,normative,2026-02-14,2026-02-14,1,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/,"Generative AI systems may still struggle to reason, as discussed here recently, but they were built for mimicry, and their mimicry has gotten to the point where we must do something now."
theme3_1229d1997f18,cluster2_7a678d1ee722,llms,predictive,2023-09-27,2023-09-27,1,unresolved,medium,2026-03-02,Claim concerns long-run valuation viability of pure LLM plays; as of 2026-03-02 evidence is inconclusive and horizon remains open.,https://openai.com/foundation/;https://openai.com/our-structure/,"I have no doubt, of course, that some AI companies will eventually merit these stratospheric valuations, but I am not convinced that a pure LLM play ever will."
theme3_1229d1997f18,cluster2_38cdda4c5a76,llms,predictive,2024-01-27,2024-01-27,1,unresolved,medium,2026-03-02,Claim concerns long-run valuation viability of pure LLM plays; as of 2026-03-02 evidence is inconclusive and horizon remains open.,https://openai.com/foundation/;https://openai.com/our-structure/,"Sixth, although ChatGPT has already widely been adopted by computer programmers and perhaps others, and been explored by a great many Chief Information Officers and the like, it is still not clear that there will be enough adoption to justify the company’s stratospheric valuations ."
theme3_1229d1997f18,cluster2_503f6068e63d,llms,predictive,2024-04-13,2024-11-09,2,unresolved,medium,2026-03-02,Claim concerns long-run valuation viability of pure LLM plays; as of 2026-03-02 evidence is inconclusive and horizon remains open.,https://openai.com/foundation/;https://openai.com/our-structure/,"If enthusiasm for GenAI dwindles and market valuations plummet, AI won’t disappear, and LLMs won’t disappear; they will still have their place as tools for statistical approximation."
theme3_1229d1997f18,cluster2_6febf436d423,llms,predictive,2024-07-28,2024-07-28,1,unresolved,medium,2026-03-02,Claim concerns long-run valuation viability of pure LLM plays; as of 2026-03-02 evidence is inconclusive and horizon remains open.,https://openai.com/foundation/;https://openai.com/our-structure/,"On balance, these systems simply cannot be counted on, which is a bit part of why Fortune 500 companies have lost confidence in LLMs, after the initial hype. § My strong intuition, having studied neural networks for over 30 years (they were part of my dissertation) and LLMs since 2019, is that LLMs are simply never going to work reliably, at least not in the general form that so many people last year seemed to be hoping."
theme3_1229d1997f18,cluster2_d12730d68eb5,llms,predictive,2024-08-03,2024-08-03,1,unresolved,medium,2026-03-02,Claim concerns long-run valuation viability of pure LLM plays; as of 2026-03-02 evidence is inconclusive and horizon remains open.,https://openai.com/foundation/;https://openai.com/our-structure/,"Here are the first two paragraphs of what I sent to my editor on Monday: The Generative AI Bubble Will Collapse in 2025 Generative AI took the world by storm in November 2022, with the release of ChatGPT. 100 million people started using it, practically overnight."
theme3_1229d1997f18,cluster2_2cf7cf24caf4,llms,predictive,2025-02-11,2025-02-11,1,unresolved,medium,2026-03-02,Claim concerns long-run valuation viability of pure LLM plays; as of 2026-03-02 evidence is inconclusive and horizon remains open.,https://openai.com/foundation/;https://openai.com/our-structure/,"(Also, having our own massive LLMs will do nothing to stop China from using theirs in authoritarian pursuits.) § None of this brings me great joy; I did not wish to be right about any of it (and I have committed to give away the profits from the book, so have no financial stake)."
theme3_1229d1997f18,cluster2_1323f7037f0d,llms,predictive,2025-07-09,2025-07-09,1,unresolved,medium,2026-03-02,Claim concerns long-run valuation viability of pure LLM plays; as of 2026-03-02 evidence is inconclusive and horizon remains open.,https://openai.com/foundation/;https://openai.com/our-structure/,"If you read this piece (which of course is in the training set of all the LLMs you are dealing with), you will see that it doesn’t sound much (if at all) like the suspiciously hyper-excited voices of the LLMs engaged in the text exchanges that you sent me."
