post_id,claim_date,slug,url,local_path,bytes,sha256
post_0001,2022-05-29,the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,posts/2022-05-29_the-new-science-of-alt-intelligence.txt,14183,aa999433404abf287c6ffd67f01786a1c081164e2989b455cbf601bbb32c0724
post_0002,2023-01-31,the-cnet-fake-news-fiasco-autopilot,https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot,posts/2023-01-31_the-cnet-fake-news-fiasco-autopilot.txt,10149,63b0ece448c84b6cf65deba0b39bb6c3231967ade06c4e0a8d536234ad8ce72a
post_0003,2023-02-02,gaslighting-and-reality-in-ai,https://garymarcus.substack.com/p/gaslighting-and-reality-in-ai,posts/2023-02-02_gaslighting-and-reality-in-ai.txt,5555,24666b9f6456abab80c62d67023bd5ba21b0728f41c1b3f90e0f6ad4572e4d30
post_0004,2023-02-03,happy-groundhog-day-the-ai-edition,https://garymarcus.substack.com/p/happy-groundhog-day-the-ai-edition,posts/2023-02-03_happy-groundhog-day-the-ai-edition.txt,5849,00fcdccfe700c3ebfa4fe3a62a105f01f3421b8450aefed52ec03f89ff65dd47
post_0005,2023-02-04,some-things-garymarcus-might-say,https://garymarcus.substack.com/p/some-things-garymarcus-might-say,posts/2023-02-04_some-things-garymarcus-might-say.txt,5834,505a784fba9f1bbd260a9fa6952b095f95d4350cb7aafbaf0f34f3b640eac7b7
post_0006,2023-02-09,oops-how-google-bombed-while-doing,https://garymarcus.substack.com/p/oops-how-google-bombed-while-doing,posts/2023-02-09_oops-how-google-bombed-while-doing.txt,5215,05d29f0f880cdd2d3bc954b478dcd5c86404d0797f0ac585c4743350a7a2ffb2
post_0007,2023-02-11,coming-soon,https://garymarcus.substack.com/p/coming-soon,posts/2023-02-11_coming-soon.txt,104,f8ae73d4cc60e6b05722f8f88f9d07a4f0d598f6d32804229f8e8b5499b1a2a3
post_0008,2023-02-11,does-ai-really-need-a-paradigm-shift,https://garymarcus.substack.com/p/does-ai-really-need-a-paradigm-shift,posts/2023-02-11_does-ai-really-need-a-paradigm-shift.txt,15285,6e7c439fa39e45305abeb353640fb6d5aecdfab0537310354febc6d5f8fd2f98
post_0009,2023-02-11,horse-rides-astronaut,https://garymarcus.substack.com/p/horse-rides-astronaut,posts/2023-02-11_horse-rides-astronaut.txt,14223,227c6284e55c01358ae72161d656ec8c89549fd617adc86879201893e354fc75
post_0010,2023-02-11,noam-chomsky-and-gpt-3,https://garymarcus.substack.com/p/noam-chomsky-and-gpt-3,posts/2023-02-11_noam-chomsky-and-gpt-3.txt,15066,8b77bec1f9580e065f3209464ce61a75cc38ddee21631dcb3ae60cf164fac321
post_0011,2023-02-11,nonsense-on-stilts,https://garymarcus.substack.com/p/nonsense-on-stilts,posts/2023-02-11_nonsense-on-stilts.txt,9827,02f453072e6dbf12006d4d5eb71a6d9b98bb8c59cead37d1b40aab6270709817
post_0012,2023-02-11,poetry-for-our-agi-times,https://garymarcus.substack.com/p/poetry-for-our-agi-times,posts/2023-02-11_poetry-for-our-agi-times.txt,5217,ded943b5b8d853d661ab59d2391e018a63f86b808b3f28e2f0b42a8f5c30f137
post_0013,2023-02-11,three-ideas-from-linguistics-that,https://garymarcus.substack.com/p/three-ideas-from-linguistics-that,posts/2023-02-11_three-ideas-from-linguistics-that.txt,23844,bcf48ec895377e6f6502d889275601c9bbdf202752b892b44fb318a0066949ef
post_0014,2023-02-11,what-does-it-mean-when-an-ai-fails,https://garymarcus.substack.com/p/what-does-it-mean-when-an-ai-fails,posts/2023-02-11_what-does-it-mean-when-an-ai-fails.txt,13656,7ae7c6b37e2201b4572f998be1dec1499f84cbc9bc26fd714460671fd25c8c6a
post_0015,2023-02-11,will-tesla-ever-solve-full-self-driving,https://garymarcus.substack.com/p/will-tesla-ever-solve-full-self-driving,posts/2023-02-11_will-tesla-ever-solve-full-self-driving.txt,7309,51d02978323b6f909f2a8717777ec80bac3cd14797039842dfcc8a3bf88389f5
post_0016,2023-02-12,learning-language-is-harder-than,https://garymarcus.substack.com/p/learning-language-is-harder-than,posts/2023-02-12_learning-language-is-harder-than.txt,10646,65b2f86057719b8f756d1f6f7e394dc26dfde891f21a74dc8e5a4c259a60e6b3
post_0017,2023-02-12,what-google-should-really-be-worried,https://garymarcus.substack.com/p/what-google-should-really-be-worried,posts/2023-02-12_what-google-should-really-be-worried.txt,6630,b98a9ff5470d869dd61e43e8706f8bd7852dd580e46b71fab96af1089c6d8e98
post_0018,2023-02-12,whats-wrong-with-googles-new-robot,https://garymarcus.substack.com/p/whats-wrong-with-googles-new-robot,posts/2023-02-12_whats-wrong-with-googles-new-robot.txt,10343,fea63c6fe9b4d38c41e20ba1f7e78b48d6105ffaf40e97d51b682982f10b7b49
post_0019,2023-02-13,5-myths-about-learning-and-innateness,https://garymarcus.substack.com/p/5-myths-about-learning-and-innateness,posts/2023-02-13_5-myths-about-learning-and-innateness.txt,8529,a0495b916588bf2635febd5acd691a0faf40618920c22da2ab6413988c0c0d70
post_0020,2023-02-13,deepfakes-versus-deep-understanding,https://garymarcus.substack.com/p/deepfakes-versus-deep-understanding,posts/2023-02-13_deepfakes-versus-deep-understanding.txt,1756,ed4b9ed65f17a41bd0931d7e819e990d88f5c0c542cef08587606ee6c664e9b6
post_0021,2023-02-13,did-googleai-just-snooker-one-of,https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of,posts/2023-02-13_did-googleai-just-snooker-one-of.txt,19700,e0ab5cbd43420d3975b5528d33b0aac939be483da32b661ad6dc677839af1931
post_0022,2023-02-13,form-function-and-the-giant-gulf,https://garymarcus.substack.com/p/form-function-and-the-giant-gulf,posts/2023-02-13_form-function-and-the-giant-gulf.txt,5424,888bc7c3a488b87cc815984451cf1d14b72643e6836000d074702c9c07d7226f
post_0023,2023-02-13,how-new-are-yann-lecuns-new-ideas,https://garymarcus.substack.com/p/how-new-are-yann-lecuns-new-ideas,posts/2023-02-13_how-new-are-yann-lecuns-new-ideas.txt,15158,40b59cd496f74662307d22163af80a6535f2a132ed41863a406e9e855045ca68
post_0024,2023-02-13,sub-optimal,https://garymarcus.substack.com/p/sub-optimal,posts/2023-02-13_sub-optimal.txt,8742,5ba9d2f1802138c8a8927db0d3ab885e3472e500f548c43a8e359643e4346339
post_0025,2023-02-13,the-new-sport-of-misrepresenting,https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting,posts/2023-02-13_the-new-sport-of-misrepresenting.txt,10505,6fdeee8bd578c9dd99d672f6c5387b5c11cf6d1a05a9a7d6fe4a2768e3aaeddc
post_0026,2023-02-13,too-much-benefit-of-the-doubt,https://garymarcus.substack.com/p/too-much-benefit-of-the-doubt,posts/2023-02-13_too-much-benefit-of-the-doubt.txt,11272,48c57b17e3dce4b02e06b595c61b2a24e98267cfeb11b157c97ed06e963944dd
post_0027,2023-02-13,top-5-reasons-teslas-optimus-announcement,https://garymarcus.substack.com/p/top-5-reasons-teslas-optimus-announcement,posts/2023-02-13_top-5-reasons-teslas-optimus-announcement.txt,4823,04db5b2d75c60ffa6fff9d3530629f481acf25529d405c89af083f107d1e89a5
post_0028,2023-02-14,a-few-words-about-bullshit,https://garymarcus.substack.com/p/a-few-words-about-bullshit,posts/2023-02-14_a-few-words-about-bullshit.txt,2496,97cdfac896e85277ac65f5bc19f0a82673691c251cda030b4cf85d1dfc6a5df9
post_0029,2023-02-14,bravo-elonmusk-for-wanting-twitter,https://garymarcus.substack.com/p/bravo-elonmusk-for-wanting-twitter,posts/2023-02-14_bravo-elonmusk-for-wanting-twitter.txt,2118,2e36fbed2705b6ab1a26d5a0d2508650ebb523b81897e991aabdc5736c96200c
post_0030,2023-02-14,how-come-smart-assistants-have-virtually,https://garymarcus.substack.com/p/how-come-smart-assistants-have-virtually,posts/2023-02-14_how-come-smart-assistants-have-virtually.txt,4175,2339a67f980917bb8e54700d95048ca007c41f1f2b2c137bfddd9fe9a74456a7
post_0031,2023-02-14,sentience-and-ai-a-dialog-between,https://garymarcus.substack.com/p/sentience-and-ai-a-dialog-between,posts/2023-02-14_sentience-and-ai-a-dialog-between.txt,3748,c87dac9f76189cd5a61cf298b363141ed22a87e1ff54f4327c051c8f5b1d04e5
post_0032,2023-02-14,what-does-meta-ais-diplomacy-winning,https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning,posts/2023-02-14_what-does-meta-ais-diplomacy-winning.txt,15264,eaa83a1a2c55f9ea35deb53c5f7cd33e53981a0f8cb00e4cdae5cd49e9a450f0
post_0033,2023-02-14,what-game-over-for-the-latest-paradigm,https://garymarcus.substack.com/p/what-game-over-for-the-latest-paradigm,posts/2023-02-14_what-game-over-for-the-latest-paradigm.txt,4143,4194220a5f4710f542593442dc46f4c7943f99f91c0ad958452660b5904e62d8
post_0034,2023-02-15,ais-jurassic-park-moment,https://garymarcus.substack.com/p/ais-jurassic-park-moment,posts/2023-02-15_ais-jurassic-park-moment.txt,8549,5a599fb3a884b271d30f16406c539cbb74b8674c26d5d270f5c0eac4bdad1cd4
post_0035,2023-02-15,an-epic-ai-debateand-why-everyone,https://garymarcus.substack.com/p/an-epic-ai-debateand-why-everyone,posts/2023-02-15_an-epic-ai-debateand-why-everyone.txt,7220,5203923bd013c46880adcaaf54374e8beea1092d79fcb45c50065b982d903b29
post_0036,2023-02-15,is-chatgpt-really-a-code-red-for,https://garymarcus.substack.com/p/is-chatgpt-really-a-code-red-for,posts/2023-02-15_is-chatgpt-really-a-code-red-for.txt,10470,165be0db8ea11f46eff8f746db019f95c1029d0b303d260ecdd801f394d7e1ee
post_0037,2023-02-15,is-microsoft-about-to-get-the-deal,https://garymarcus.substack.com/p/is-microsoft-about-to-get-the-deal,posts/2023-02-15_is-microsoft-about-to-get-the-deal.txt,6976,7dc5dc1233feacef541a52bde564d160514c63ba2f260741cfee65244094259d
post_0038,2023-02-15,what-to-expect-when-youre-expecting,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting,posts/2023-02-15_what-to-expect-when-youre-expecting.txt,10079,893d1f2e3a158977a0cb1a994a675fc8eda30e01431b18d1308ae563220b08e4
post_0039,2023-02-16,24-seriously-embarrassing-hours-for,https://garymarcus.substack.com/p/24-seriously-embarrassing-hours-for,posts/2023-02-16_24-seriously-embarrassing-hours-for.txt,5855,9aa70824fa4ec5804e39b22a22ef8d5d0806169b1bc453ee870e6651f04de8ba
post_0040,2023-02-16,agi-will-not-happen-in-your-lifetime,https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime,posts/2023-02-16_agi-will-not-happen-in-your-lifetime.txt,30455,cc26429421145a7316fc4c13e2c0e0e0edf31b316974a2266376bfd8a2e4d782
post_0041,2023-02-16,scientists-please-dont-let-your-chatbots,https://garymarcus.substack.com/p/scientists-please-dont-let-your-chatbots,posts/2023-02-16_scientists-please-dont-let-your-chatbots.txt,3961,57c4dd9385c952c1ef0c6721bc91ab1a15fd21e691f817581d61e8785e99c52f
post_0042,2023-02-16,the-rise-and-fall-of-microsofts-new,https://garymarcus.substack.com/p/the-rise-and-fall-of-microsofts-new,posts/2023-02-16_the-rise-and-fall-of-microsofts-new.txt,2648,31b2400f5ee6f8473879349508232dc3ca30fd73f99c3c8039981c9d6ed99299
post_0043,2023-02-16,two-frightening-things-before-breakfast,https://garymarcus.substack.com/p/two-frightening-things-before-breakfast,posts/2023-02-16_two-frightening-things-before-breakfast.txt,6460,ba22e306139bf99db2069e16b365bc6d77ad13ca936bb59d95b91e17f8a4c75d
post_0044,2023-02-17,smells-a-little-bit-like-ai-winter,https://garymarcus.substack.com/p/smells-a-little-bit-like-ai-winter,posts/2023-02-17_smells-a-little-bit-like-ai-winter.txt,1111,2d9cf2259064e6f280766cd47283bf7662cf2ef33d66b274f33d29baee6c83aa
post_0045,2023-02-18,david-beats-go-liath,https://garymarcus.substack.com/p/david-beats-go-liath,posts/2023-02-18_david-beats-go-liath.txt,4860,37eaa5ce1c64c6e9901875bbbea06bb80d7409f89efbb32dfd073febb9ed7861
post_0046,2023-02-18,how-not-to-test-gpt-3,https://garymarcus.substack.com/p/how-not-to-test-gpt-3,posts/2023-02-18_how-not-to-test-gpt-3.txt,15076,e3e5f62e9967b1897aa514acf9bfc635efa3090d17a45ed0caa4f1be727612db
post_0047,2023-02-18,large-language-models-like-chatgpt,https://garymarcus.substack.com/p/large-language-models-like-chatgpt,posts/2023-02-18_large-language-models-like-chatgpt.txt,10475,6056a2a15215bd7c5ec1d5e1ce7e77bb111f9051941a5528dc94c4621a940bb9
post_0048,2023-02-20,why-is-bing-so-reckless,https://garymarcus.substack.com/p/why-is-bing-so-reckless,posts/2023-02-20_why-is-bing-so-reckless.txt,7852,5f68baccc1091d4e6c53b80dda117e458ad61bb70f923f34a500902b8a0a67c7
post_0049,2023-02-21,what-did-they-know-and-when-did-they,https://garymarcus.substack.com/p/what-did-they-know-and-when-did-they,posts/2023-02-21_what-did-they-know-and-when-did-they.txt,3219,093d6e0c14b232763dffdc85e09cb942ba716892393cc5ae467d169b61e1da72
post_0050,2023-02-22,dont-go-breaking-my-heart,https://garymarcus.substack.com/p/dont-go-breaking-my-heart,posts/2023-02-22_dont-go-breaking-my-heart.txt,3862,61f4d6240a54e91f68a1da4912118216e1901d6c32d56f4421110a21c8c93ee6
post_0051,2023-02-26,is-it-time-to-hit-the-pause-button,https://garymarcus.substack.com/p/is-it-time-to-hit-the-pause-button,posts/2023-02-26_is-it-time-to-hit-the-pause-button.txt,7973,c157d12608d209bc7d4127cd24948ff67c3fadb2b3831e53e9c36484b6e88cc5
post_0052,2023-02-28,the-threat-of-automated-misinformation,https://garymarcus.substack.com/p/the-threat-of-automated-misinformation,posts/2023-02-28_the-threat-of-automated-misinformation.txt,1351,46dee9243646ee94552e578b5b378a6edc65beed12e090a3972bf22370119d90
post_0053,2023-03-02,dont-look-up-the-ai-edition,https://garymarcus.substack.com/p/dont-look-up-the-ai-edition,posts/2023-03-02_dont-look-up-the-ai-edition.txt,5360,8e8a62c5f269cb13564dabf3db57ff3f0ad1cede47fecf98298831221741292e
post_0054,2023-03-11,the-long-shadow-of-gpt,https://garymarcus.substack.com/p/the-long-shadow-of-gpt,posts/2023-03-11_the-long-shadow-of-gpt.txt,5566,feb447312dc10f0c7f545e2f2d0bcd3e9f871f783b2dff0097a382b73894ec48
post_0055,2023-03-12,caricaturing-noam-chomsky,https://garymarcus.substack.com/p/caricaturing-noam-chomsky,posts/2023-03-12_caricaturing-noam-chomsky.txt,13833,7f2cc41f63ce8b4f556a349e65b884da628db44183486b54a7e633d3031c9cc6
post_0056,2023-03-14,should-we-worry-more-about-short,https://garymarcus.substack.com/p/should-we-worry-more-about-short,posts/2023-03-14_should-we-worry-more-about-short.txt,5244,17fb9c6b4a69b955c15fc595bc44feecb6f3a14d9d41479da7809b554c683c3f
post_0057,2023-03-15,gpt-4s-successes-and-gpt-4s-failures,https://garymarcus.substack.com/p/gpt-4s-successes-and-gpt-4s-failures,posts/2023-03-15_gpt-4s-successes-and-gpt-4s-failures.txt,4174,e4fc622e9753ae6870df9fba38981a63dd52a5e249983bf8d544df19421a9db6
post_0058,2023-03-18,this-week-in-ai-doublespeak,https://garymarcus.substack.com/p/this-week-in-ai-doublespeak,posts/2023-03-18_this-week-in-ai-doublespeak.txt,4468,351548876165678dcada52673a04ebf3f6dd590565d21179d2dc7906b19d465c
post_0059,2023-03-25,the-sparks-of-agi-or-the-end-of-science,https://garymarcus.substack.com/p/the-sparks-of-agi-or-the-end-of-science,posts/2023-03-25_the-sparks-of-agi-or-the-end-of-science.txt,6684,ebd085702cad132b1c79ded88f025c453e7340f6c6d1637485f958908cdc5617
post_0060,2023-03-29,a-temporary-pause-on-training-extra,https://garymarcus.substack.com/p/a-temporary-pause-on-training-extra,posts/2023-03-29_a-temporary-pause-on-training-extra.txt,1334,c5494aa57681fe4f21ced77234b8c3a1c22fb2405b199ae18bab173f2109f12d
