claim_id,claim_date,slug,title,url,quote,canonical_claim,canonical_norm,category,claim_type,falsifiability_tier,target,horizon_type,horizon_value,evaluation_date,source_file
claim_00001,2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,"For many decades, part of the premise behind AI was that artificial intelligence should take inspiration from natural intelligence .","For many decades, part of the premise behind AI was that artificial intelligence should take inspiration from natural intelligence .",for many decades part of the premise behind ai was that artificial intelligence should take inspiration from natural intelligence,policy,normative,tier_3,general_ai,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
claim_00002,2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,"DeepMind’s newest star, just unveiled, Gato , is capable of cross-modal feats never seen before in AI, but still, when you look in the fine print, remains stuck in the same land of unreliability, moments of brilliance coupled with absolute discomprehension: Of course, it’s not uncommon for defenders of deep learning to make the reasonable point that humans make errors, too.","DeepMind’s newest star, just unveiled, Gato , is capable of cross-modal feats never seen before in AI, but still, when you look in the fine print, remains stuck in the same land of unreliability, moments of brilliance coupled with absolute discomprehension: Of course, it’s not uncommon for defenders of deep learning to make the reasonable point that humans make errors, too.",deepmind s newest star just unveiled gato is capable of cross modal feats never seen before in ai but still when you look in the fine print remains stuck in the same land of unreliability moments of brilliance coupled with absolute discomprehension of course it s not uncommon for defenders of deep learning to make the reasonable point that humans make errors too,technical_assessment,descriptive,tier_2,google,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
claim_00003,2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,"The rest of de Freitas’ thread, follows suit: Nando de Freitas 🏳️‍🌈 @NandoDF Solving these scaling challenges is what will deliver AGI.","The rest of de Freitas’ thread, follows suit: Nando de Freitas 🏳️‍🌈 @NandoDF Solving these scaling challenges is what will deliver AGI.",the rest of de freitas thread follows suit nando de freitas nandodf solving these scaling challenges is what will deliver agi,prediction,predictive,tier_3,agi,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
claim_00004,2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,"(“Philosophy about symbols isn’t [needed]” is perhaps a rebuttal to my long-standing campaign to integrate symbol-manipulation into cognitive science and AI , recently resumed in Nautilus Magazine , though the argument is not fully spelled out.","(“Philosophy about symbols isn’t [needed]” is perhaps a rebuttal to my long-standing campaign to integrate symbol-manipulation into cognitive science and AI , recently resumed in Nautilus Magazine , though the argument is not fully spelled out.",philosophy about symbols isn t needed is perhaps a rebuttal to my long standing campaign to integrate symbol manipulation into cognitive science and ai recently resumed in nautilus magazine though the argument is not fully spelled out,technical_assessment,descriptive,tier_3,general_ai,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
claim_00005,2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,"And really, it should lead us back to where the founders of AI started.","And really, it should lead us back to where the founders of AI started.",and really it should lead us back to where the founders of ai started,policy,normative,tier_3,general_ai,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
claim_00006,2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).","AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).",ai should certainly not be a slavish replica of human intelligence which after all is flawed in its own ways saddled with lousy memory and cognitive bias,policy,normative,tier_3,regulation,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
claim_00007,2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,"The bottom line is this, something that AI once cherished but has now forgotten: If we are to build AGI, we are going to need to learn something from humans, how they reason and understand the physical world, and how they represent and acquire language and complex concepts.","The bottom line is this, something that AI once cherished but has now forgotten: If we are to build AGI, we are going to need to learn something from humans, how they reason and understand the physical world, and how they represent and acquire language and complex concepts.",the bottom line is this something that ai once cherished but has now forgotten if we are to build agi we are going to need to learn something from humans how they reason and understand the physical world and how they represent and acquire language and complex concepts,policy,normative,tier_3,agi,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
claim_00008,2023-01-31,the-cnet-fake-news-fiasco-autopilot,Marcus on AI,https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot,Anyone who thinks about how AI is used should know about it—especially as we are about to head into an era of ubiquitous yet fallible AI.,Anyone who thinks about how AI is used should know about it—especially as we are about to head into an era of ubiquitous yet fallible AI.,anyone who thinks about how ai is used should know about it especially as we are about to head into an era of ubiquitous yet fallible ai,policy,normative,tier_3,general_ai,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-01-31_the-cnet-fake-news-fiasco-autopilot.txt
claim_00009,2023-01-31,the-cnet-fake-news-fiasco-autopilot,Marcus on AI,https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot,"Three minutes into his talk, Urmson told a profound story that pretty much every congressperson and citizen should be pondering, deeply, right about now: So back in 2013, we had the first test of a self-driving car where we let regular people use it.","Three minutes into his talk, Urmson told a profound story that pretty much every congressperson and citizen should be pondering, deeply, right about now: So back in 2013, we had the first test of a self-driving car where we let regular people use it.",three minutes into his talk urmson told a profound story that pretty much every congressperson and citizen should be pondering deeply right about now so back in 2013 we had the first test of a self driving car where we let regular people use it,policy,normative,tier_3,general_ai,explicit_date,2013-12-31,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-01-31_the-cnet-fake-news-fiasco-autopilot.txt
claim_00010,2023-02-02,gaslighting-and-reality-in-ai,Marcus on AI,https://garymarcus.substack.com/p/gaslighting-and-reality-in-ai,"Gary Marcus @GaryMarcus Key problem with systems like GPT-2 is not that they dont deal with quantities (as @ylecun suggests below), it is they don't develop robust representations of *how events unfold over time* Clearest w number, but true in many cases, and it's part of why the quantity cases fail: Yann LeCun @ylecun @StanDehaene @GaryMarcus Actually, machines that are trained to deal with quantities do learn to deal with quantities.","Gary Marcus @GaryMarcus Key problem with systems like GPT-2 is not that they dont deal with quantities (as @ylecun suggests below), it is they don't develop robust representations of *how events unfold over time* Clearest w number, but true in many cases, and it's part of why the quantity cases fail: Yann LeCun @ylecun @StanDehaene @GaryMarcus Actually, machines that are trained to deal with quantities do learn to deal with quantities.",gary marcus garymarcus key problem with systems like gpt 2 is not that they dont deal with quantities as ylecun suggests below it is they don t develop robust representations of how events unfold over time clearest w number but true in many cases and it s part of why the quantity cases fail yann lecun ylecun standehaene garymarcus actually machines that are trained to deal with quantities do learn to deal with quantities,capability,descriptive,tier_1,llms,none,,2026-03-02,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-02_gaslighting-and-reality-in-ai.txt
