theme3_id,theme_label,target_mode,chatgpt_status_at_eval,chatgpt_confidence,selected_claude_cluster_id,selected_match_confidence,bridge_confidence,mapping_status,manual_review,date_overlap_days,selected_match_rationale,candidate_count,candidate_clusters
theme3_64bd8b6d3a0f,agents_reliability,general_ai,unresolved,medium,llm_agents_premature,high,high,mapped,no,647,Direct semantic match — both about LLM agent readiness/reliability,2,llm_agents_premature;llms_unreliable_for_critical_apps
theme3_7645c65073c8,agents_reliability,general_ai,unresolved,medium,llm_agents_premature,high,high,mapped,no,74,Direct semantic match — both about LLM agent readiness/reliability,2,llm_agents_premature;llms_unreliable_for_critical_apps
theme3_833be3ff31bb,agents_reliability,llms,unresolved,medium,llm_agents_premature,high,high,mapped,no,541,Direct semantic match — both about LLM agent readiness/reliability,2,llm_agents_premature;llms_unreliable_for_critical_apps
theme3_90cdb2bb15e4,agents_reliability,llms,unresolved,medium,llm_agents_premature,high,high,mapped,no,1,Direct semantic match — both about LLM agent readiness/reliability,2,llm_agents_premature;llms_unreliable_for_critical_apps
theme3_a4a7b7572183,agents_reliability,general_ai,unresolved,medium,llm_agents_premature,high,high,mapped,no,37,Direct semantic match — both about LLM agent readiness/reliability,2,llm_agents_premature;llms_unreliable_for_critical_apps
theme3_1c72faf37cd5,agi_timeline,regulation,untestable,high,agi_not_imminent,high,high,mapped,no,1,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_3c553598e33f,agi_timeline,agi,unresolved,high,agi_not_imminent,high,high,mapped,no,1021,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_4acd3c028f35,agi_timeline,meta,untestable,high,agi_not_imminent,high,high,mapped,no,1,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_4c6df10ac954,agi_timeline,general_ai,untestable,high,agi_not_imminent,high,high,mapped,no,0,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_4d4764672c3e,agi_timeline,agi,untestable,high,agi_not_imminent,high,high,mapped,no,1011,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_65d13d74dd78,agi_timeline,openai,untestable,high,agi_not_imminent,high,high,mapped,no,1,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_74fdd247ed10,agi_timeline,anthropic,unresolved,medium,agi_not_imminent,high,high,mapped,no,1,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_8e1a0d0af076,agi_timeline,openai,unresolved,medium,agi_not_imminent,high,high,mapped,no,1,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_b889360f49df,agi_timeline,anthropic,unresolved,medium,agi_not_imminent,high,high,mapped,no,1,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_c5056806d534,agi_timeline,tesla,unresolved,high,agi_not_imminent,high,high,mapped,no,706,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_cb87e9ec1415,agi_timeline,agi,unresolved,medium,agi_not_imminent,high,high,mapped,no,1042,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_df801cea5953,agi_timeline,openai,unresolved,high,agi_not_imminent,high,high,mapped,no,429,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_e8ec12058b83,agi_timeline,general_ai,unresolved,high,agi_not_imminent,high,high,mapped,no,622,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_f3ab8db480f5,agi_timeline,agi,unresolved,medium,agi_not_imminent,high,high,mapped,no,1021,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_fb1e8f4c72f2,agi_timeline,general_ai,unresolved,high,agi_not_imminent,high,high,mapped,no,1,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_fe6828136104,agi_timeline,microsoft,unresolved,medium,agi_not_imminent,high,high,mapped,no,1,Direct match — AGI timeline skepticism,5,agi_definition_diluted;agi_not_imminent;ai_progress_not_linear;need_hybrid_neurosymbolic;scaling_wont_reach_agi
theme3_023d31465c4a,copyright_ip,microsoft,untestable,high,ai_copyright_infringement,high,high,mapped,no,1,Direct semantic match — training data IP issues,1,ai_copyright_infringement
theme3_03bbb277b41d,copyright_ip,general_ai,unresolved,medium,ai_copyright_infringement,high,high,mapped,no,1093,Direct semantic match — training data IP issues,1,ai_copyright_infringement
theme3_0645fb99675a,copyright_ip,general_ai,unresolved,medium,ai_copyright_infringement,high,high,mapped,no,886,Direct semantic match — training data IP issues,1,ai_copyright_infringement
theme3_16706773bfe0,copyright_ip,microsoft,unresolved,medium,ai_copyright_infringement,high,high,mapped,no,1,Direct semantic match — training data IP issues,1,ai_copyright_infringement
theme3_5f90b0708be7,copyright_ip,llms,unresolved,medium,ai_copyright_infringement,high,high,mapped,no,1067,Direct semantic match — training data IP issues,1,ai_copyright_infringement
