cluster_id,canonical_statement,claim_count,date_first,date_last,span_days,pct_supported,pct_mixed,pct_contradicted,pct_untestable,pct_pending,specificity_high_pct,falsifiability_yes_pct,revision_notes
ai_needs_regulation,AI systems need robust government regulation because industry self-regulation is insufficient to protect the public.,164,2023-02-11,2026-02-26,1111,31.1,15.9,1.2,48.2,3.7,7.3,9.1,Urgency escalated while specifics evolved. 2023: called for 'international agency for AI' and FDA-like oversight. 2024: focused on SB-1047 and specific legislative mechanisms. 2025-2026: shifted to alarm about Trump deregulation creating 'essentially zero regulation.' The policy proposals became more specific and the warnings more dire as US regulatory landscape deteriorated.
ai_roi_disappointing,"AI ROI has been deeply disappointing; companies spend far more on AI than they earn, productivity gains remain elusive.",132,2023-02-11,2026-03-01,1114,38.6,34.1,6.8,15.2,5.3,9.1,6.8,"Dramatic escalation in scale of criticism. 2023: noted high costs. 2024: '$50B spending vs $3B revenue.' 2025: 'infrastructure spending (~$250B) outweighs revenue perhaps 50:1.' 2026: '$800B revenue shortfall by 2030,' '95% of organizations see no measurable return.' Each year brought larger numbers and stronger language."
llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,124,2022-05-29,2026-02-23,1366,30.6,37.9,4.0,25.8,1.6,7.3,4.8,Asserted 124 times across 73 distinct dates from 2022-05-29 to 2026-02-23
hallucination_unsolvable,LLM hallucination/confabulation is an inherent architectural limitation that cannot be fully solved within the current paradigm.,120,2023-01-31,2026-02-23,1119,56.7,28.3,5.8,6.7,2.5,10.8,9.2,"Core thesis unchanged from 2023-2026: hallucination is architectural, not a bug. Early (2023): 'LLMs inherently cannot track truth.' Late (2025-2026): 'LLMs still hallucinate, make boneheaded errors.' Notable escalation: from noting the problem exists to documenting that lawyer incidents grew 8x and rates persist at 15-60% even with source articles supplied. Never softened; consistently asserted as unfixable within current paradigm."
scaling_wont_reach_agi,"Simply scaling up LLM architectures (more data, parameters, compute) will not produce AGI or solve fundamental capability gaps.",106,2022-05-29,2026-02-01,1344,42.5,30.2,2.8,14.2,10.4,1.9,0.9,Thesis hardened over time. Early (2022): 'scaling has not yet produced systems that reliably understand the world' (hedged with 'not yet'). By 2024-2025: 'pure scaling of transformer-based LLMs is not the path to AGI' (categorical). Late (2025-2026): 'the era when simply adding data and compute yielded major improvements is likely over' and 'the only people still claiming LLM scaling is sufficient are grifters.' Claimed vindication as industry insiders confirmed scaling plateaus in late 2024.
openai_wont_stay_dominant,"OpenAI will not maintain dominance and faces serious competitive, financial, and organizational challenges.",87,2023-02-15,2026-02-27,1108,40.2,32.2,12.6,3.4,11.5,34.5,23.0,"Escalating pessimism. 2023: 'OpenAI's core technology is replicable.' 2024: 'loses money on every prompt,' 'WeWork of AI.' 2025: 'expects to spend $150B on compute,' 'no more than a year of runway.' Late 2025-2026: actively predicting government bailout scenarios. Financial critique intensified as OpenAI's losses became clearer."
miscellaneous,Miscellaneous claims that do not fit neatly into any other cluster.,86,2022-05-29,2026-03-01,1372,41.9,30.2,4.7,11.6,11.6,17.4,15.1,
deepfakes_threaten_democracy,"AI-generated deepfakes and misinformation pose a severe threat to democracy, elections, and public trust.",79,2023-02-11,2026-02-23,1108,62.0,16.5,1.3,16.5,3.8,13.9,10.1,Threat assessment escalated. 2023: 'at least one of 60+ elections in 2024 will likely be swayed by deepfakes.' 2024-2025: documented increasing real-world incidents. 2026: 'deepfake technology can fake anyone at nearly zero cost' and 'more deepfake scams than all prior years combined.' Shifted from warning about potential to documenting reality.
ai_copyright_infringement,Generative AI is built on massive copyright infringement and the industry cannot solve the attribution problem.,72,2023-02-11,2026-02-13,1098,62.5,16.7,2.8,16.7,1.4,12.5,9.7,Predictions largely vindicated. 2023: 'NYT lawsuit will be followed by many similar lawsuits.' 2024: '2024 will be the year of generative AI litigation' (confirmed). Consistent architectural critique that 'current architectures are structurally unable to attribute outputs to source materials.'
gpt5_disappointing,"GPT-5 is a moderate quantitative improvement that fails in the same qualitative ways as predecessors, confirming scaling limits.",65,2023-04-09,2026-02-12,1040,60.0,29.2,7.7,0.0,3.1,66.2,30.8,"Classic goalpost tracking. April 2023: 'GPT-5 will be incrementally better with the same flaws, not a qualitative leap.' Late 2023: 'OpenAI likely delayed GPT-5 because internal tests showed insufficient improvement.' 2024: increasingly confident predictions that GPT-5 would disappoint. August 2025: claimed vindication -- 'GPT-5 was one of the most overhyped products in history.' The thesis never changed; Marcus consistently predicted incremental gains, and events aligned with his predictions."
