theme3_id,theme_label,target_mode,claim_type_mode,first_date,last_date,claim_occurrences,goalpost_shift_candidate,status_at_eval,confidence,as_of_date,reason,sources
theme3_7d22014cb9c1,openai_governance,openai,predictive,2023-10-17,2026-02-27,21,yes,contradicted,medium,2026-03-02,GPT-5 launched publicly; specific deferment/failure framing is contradicted by release evidence.,https://openai.com/index/introducing-gpt-5/;https://openai.com/our-structure/
theme3_6243728cd866,openai_governance,openai,descriptive,2023-09-21,2026-01-13,12,no,contradicted,high,2026-03-02,"Specific GPT-5 pause/defer/failure framing conflicts with documented public GPT-5 release on August 7, 2025.",https://openai.com/index/introducing-gpt-5/;https://openai.com/our-structure/
theme3_843083c99dae,hallucination_misinformation,llms,descriptive,2023-02-16,2025-12-01,11,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_edacd814a9aa,hallucination_misinformation,ai_safety,predictive,2023-02-14,2026-01-06,11,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_a708e869f9a5,hallucination_misinformation,llms,predictive,2023-02-15,2025-12-30,9,yes,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_97d445ef04e0,hallucination_misinformation,general_ai,descriptive,2023-02-13,2023-08-28,4,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_bf5474b08c03,hallucination_misinformation,ai_safety,descriptive,2023-03-11,2025-11-18,4,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_1f57bba83c5b,hallucination_misinformation,regulation,descriptive,2023-07-08,2024-12-08,3,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_84ad1984d6b1,hallucination_misinformation,openai,predictive,2023-11-26,2025-12-01,3,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_d9446e6d7328,hallucination_misinformation,general_ai,predictive,2023-02-09,2024-07-28,3,no,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
