theme3_id,theme_label,target_mode,claim_type_mode,first_date,last_date,goalpost_shift_score,status_at_eval,confidence,as_of_date,reason,sources
theme3_3c553598e33f,agi_timeline,agi,predictive,2023-02-11,2025-12-01,4,mixed,medium,2026-03-02,"AGI has not been declared achieved by frontier labs as of 2026-03-02 (supports skepticism), but capabilities advanced substantially with GPT-5, so broad anti-progress framing is not fully supported.",https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/
theme3_7d22014cb9c1,openai_governance,openai,predictive,2023-10-17,2026-02-27,3,mixed,medium,2026-03-02,"GPT-5 was released (not deferred indefinitely) and OpenAI valuation remained high, which conflicts with strong near-term deflation scenarios; broader governance skepticism remains partly interpretive.",https://openai.com/index/introducing-gpt-5/;https://openai.com/our-structure/;https://openai.com/foundation/
theme3_7e94375ad3bc,regulation_policy,general_ai,predictive,2024-02-21,2025-04-17,2,mixed,low,2026-03-02,"Guardrail/common-sense concerns persist, while formal regulation has advanced (e.g., EU AI Act timetable), yielding mixed directionality.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113;https://openai.com/index/introducing-gpt-5/
theme3_a708e869f9a5,hallucination_misinformation,llms,predictive,2023-02-15,2025-12-30,4,supported,high,2026-03-02,Frontier model documentation still reports non-zero hallucination/error rates and explicitly notes ongoing hallucination limitations.,https://openai.com/index/introducing-gpt-5/;https://openai.com/index/openai-o1-system-card/;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on
theme3_03bbb277b41d,copyright_ip,general_ai,predictive,2023-02-14,2026-02-10,4,unresolved,low,2026-03-02,Theme appears weakly aligned to copyright/IP and representative claims are broad methodological questions without clear measurable endpoints.,https://openai.com/index/introducing-gpt-5/
theme3_1229d1997f18,market_hype_bubble,llms,predictive,2023-09-27,2025-08-20,3,unresolved,medium,2026-03-02,Claim concerns long-run valuation viability of pure LLM plays; as of 2026-03-02 evidence is inconclusive and horizon remains open.,https://openai.com/foundation/;https://openai.com/our-structure/
theme3_c5056806d534,agi_timeline,tesla,predictive,2023-02-13,2025-01-20,3,unresolved,high,2026-03-02,Contains AGI-by-2029 style timeline references; deadline has not passed as of 2026-03-02.,https://openai.com/index/introducing-gpt-5/
theme3_e8ec12058b83,agi_timeline,general_ai,predictive,2024-03-10,2025-11-21,2,unresolved,medium,2026-03-02,Broad skepticism about deep learning doing 'everything' remains open-ended without concrete endpoint/metric.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/
theme3_0572199dc099,reasoning_common_sense,general_ai,normative,2023-02-11,2026-02-14,3,untestable,high,2026-03-02,Normative/common-sense architecture prescription; valuable but not directly falsifiable as stated.,https://openai.com/index/introducing-gpt-5/
theme3_4d4764672c3e,agi_timeline,agi,normative,2023-02-03,2025-11-21,3,untestable,high,2026-03-02,Normative claim about what is required for AGI (abstraction/compositionality) lacks agreed operational test and deadline.,https://openai.com/index/introducing-gpt-5/
