cluster2_id,claim_id,claim_date,target,claim_type,category,falsifiability_tier,horizon_type,horizon_value,quote,url
cluster2_401055abd424,claim_00001,2022-05-29,general_ai,normative,policy,tier_3,none,,"For many decades, part of the premise behind AI was that artificial intelligence should take inspiration from natural intelligence .",https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
cluster2_639d1d6870dc,claim_00004,2022-05-29,general_ai,descriptive,technical_assessment,tier_3,none,,"(“Philosophy about symbols isn’t [needed]” is perhaps a rebuttal to my long-standing campaign to integrate symbol-manipulation into cognitive science and AI , recently resumed in Nautilus Magazine , though the argument is not fully spelled out.",https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
cluster2_8bbb3abc8ba5,claim_00005,2022-05-29,general_ai,normative,policy,tier_3,none,,"And really, it should lead us back to where the founders of AI started.",https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
cluster2_8bbb3abc8ba5,claim_01063,2025-12-17,general_ai,normative,policy,tier_3,none,,"And really, it should lead us back to where the founders of AI started.",https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need
cluster2_2a0ad3ef7ab3,claim_00008,2023-01-31,general_ai,normative,policy,tier_3,none,,Anyone who thinks about how AI is used should know about it—especially as we are about to head into an era of ubiquitous yet fallible AI.,https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot
cluster2_442dd0ed02fe,claim_00009,2023-01-31,general_ai,normative,policy,tier_3,explicit_date,2013-12-31,"Three minutes into his talk, Urmson told a profound story that pretty much every congressperson and citizen should be pondering, deeply, right about now: So back in 2013, we had the first test of a self-driving car where we let regular people use it.",https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot
cluster2_70fb0828c080,claim_00013,2023-02-04,general_ai,descriptive,technical_assessment,tier_3,none,,Champandard ❄️ @alexjc@creative.ai @alexjc I think @GaryMarcus figured out the password to this account and is now trolling people...,https://garymarcus.substack.com/p/some-things-garymarcus-might-say
cluster2_7c73dc024f3e,claim_00014,2023-02-09,general_ai,predictive,prediction,tier_1,explicit_date,2023-12-31,"I will always remember today (my birthday no less), February 8, 2023, as the day in which a chatbot-induced hallucination cost Alphabet $100 billion .",https://garymarcus.substack.com/p/oops-how-google-bombed-while-doing
cluster2_b06f326269b3,claim_00015,2023-02-09,general_ai,normative,policy,tier_3,none,,"I am not saying with certainty that we are for witnessing the same movie all over again, but should anybody blithely accept the reassurances of some very interested parties when AI has such a long history of demos that never quite make it to solid product?",https://garymarcus.substack.com/p/oops-how-google-bombed-while-doing
cluster2_19e8b2680f29,claim_00026,2023-02-11,general_ai,normative,policy,tier_3,none,,"Ernie Davis and I pushed this idea in Rebooting AI; Brachmann and Levesque do even better here in the beautiful pass in their new book Machines Like Us, outlining what a minimal kernel of commonsense for an AI might look like : Humans know these things; if AI’s are to understand language, they should refract language through this sort basic understanding of common sense, rather than needlessly starting as blank slates and acquiring statistics without concepts.",https://garymarcus.substack.com/p/noam-chomsky-and-gpt-3
cluster2_f236c1f58932,claim_00029,2023-02-11,general_ai,descriptive,technical_assessment,tier_2,none,,"Machine learning prof Tom Dietterich, never slow to needle me when he thinks I have gone too far, chimed in with full solidarity: Thomas G.",https://garymarcus.substack.com/p/nonsense-on-stilts
cluster2_9a8a19986cf9,claim_00030,2023-02-11,general_ai,descriptive,technical_assessment,tier_2,none,,"But 8 years later I doubt most people (even in AI) have ever even heard of his program, outside of my mentioning it here.",https://garymarcus.substack.com/p/nonsense-on-stilts
