id,claim_date,slug,claim,type,target,cluster_id,canonical_statement,specificity,falsifiability,status_at_eval,horizon_type,horizon_value
claim_0001,2022-05-29,the-new-science-of-alt-intelligence,"Current large AI systems like DALL-E 2, GPT-3, Flamingo, and Gato do not exhibit anything resembling human intelligence when examined carefully.",descriptive,large AI systems,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,mixed,none,
claim_0002,2022-05-29,the-new-science-of-alt-intelligence,Scaling up neural networks has not yet produced systems that reliably understand the world.,descriptive,scaling approach,scaling_wont_reach_agi,"Simply scaling up LLM architectures (more data, parameters, compute) will not produce AGI or solve fundamental capability gaps.",low,partial,supported,none,
claim_0003,2022-05-29,the-new-science-of-alt-intelligence,Persistent comprehension failures in scaled-up AI systems may indicate the need for a fundamental rethink of the approach.,descriptive,deep learning paradigm,scaling_wont_reach_agi,"Simply scaling up LLM architectures (more data, parameters, compute) will not produce AGI or solve fundamental capability gaps.",low,no,untestable,none,
claim_0004,2022-05-29,the-new-science-of-alt-intelligence,"Neural networks have not demonstrated the ability to reliably create and manipulate symbols, contrary to claims by scaling advocates.",descriptive,neural networks and symbols,scaling_wont_reach_agi,"Simply scaling up LLM architectures (more data, parameters, compute) will not produce AGI or solve fundamental capability gaps.",med,partial,mixed,none,
claim_0005,2022-05-29,the-new-science-of-alt-intelligence,State-of-the-art AI systems in 2022 still cannot reliably interpret symbolic spatial descriptions like 'red cube on blue cube'.,descriptive,image generation systems,llms_unreliable_for_critical_apps,"LLMs are too unreliable for high-stakes applications including medicine, law, autonomous vehicles, and robotics.",high,yes,supported,none,
claim_0006,2022-05-29,the-new-science-of-alt-intelligence,Most of the world's functional software still relies on knowledge engineering rather than big data approaches.,descriptive,software engineering,need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,low,partial,supported,none,
claim_0007,2022-05-29,the-new-science-of-alt-intelligence,No current AI system can read arbitrary text and build a model of what the speaker is saying and intending.,descriptive,AI language understanding,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,mixed,none,
claim_0008,2022-05-29,the-new-science-of-alt-intelligence,Success of deep learning on specific problems does not guarantee it can solve all AI problems.,descriptive,deep learning generalization,ai_academic_integrity,"AI threatens scientific/academic integrity through plagiarism, fake research, and information pollution.",low,no,untestable,none,
claim_0009,2022-05-29,the-new-science-of-alt-intelligence,"The fundamental failure modes of neural networks (unreliability, bizarre errors, compositionality failures) have persisted unchanged since they were first identified in 1988.",descriptive,neural network failure modes,llms_lack_compositionality,LLMs and neural nets fundamentally lack compositionality -- the ability to understand novel combinations of concepts.,med,partial,mixed,none,
claim_0010,2022-05-29,the-new-science-of-alt-intelligence,There is very little evidence that scaling alone will achieve human-level generalization.,descriptive,scaling approach,scaling_wont_reach_agi,"Simply scaling up LLM architectures (more data, parameters, compute) will not produce AGI or solve fundamental capability gaps.",low,partial,mixed,none,
claim_0011,2022-05-29,the-new-science-of-alt-intelligence,"Systems like Gato do not work like the brain, learn like a child, understand language, align with human values, or merit trust for mission-critical tasks.",descriptive,Gato and similar systems,ai_child_safety,AI systems pose particular dangers to children and teens that remain unaddressed.,med,partial,supported,none,
claim_0012,2022-05-29,the-new-science-of-alt-intelligence,"Building AGI will require incorporating insights from human cognition, including how humans reason about the physical world and acquire language and concepts.",predictive,AGI development,miscellaneous,Miscellaneous claims that do not fit neatly into any other cluster.,low,no,pending,none,
claim_0013,2023-01-31,the-cnet-fake-news-fiasco-autopilot,"CNET's AI-generated articles had errors in 41 of 77 articles, demonstrating that automated content generation produces unreliable output.",descriptive,AI content generation,ai_benchmarks_misleading,"AI benchmarks and demos are frequently misleading, creating false impressions of capabilities.",high,yes,supported,none,
claim_0014,2023-01-31,the-cnet-fake-news-fiasco-autopilot,"As AI systems improve in surface fluency, humans become worse at catching their errors due to decreased vigilance.",causal,human-AI interaction,llms_no_real_understanding,LLMs are fundamentally statistical pattern matchers / next-word predictors without genuine understanding.,low,partial,supported,none,
claim_0015,2023-01-31,the-cnet-fake-news-fiasco-autopilot,AI-generated misinformation in synthetic articles will increase substantially because LLMs inherently cannot track truth.,predictive,AI misinformation,hallucination_unsolvable,LLM hallucination/confabulation is an inherent architectural limitation that cannot be fully solved within the current paradigm.,med,partial,supported,relative,2023
claim_0016,2023-01-31,the-cnet-fake-news-fiasco-autopilot,"All current AI is immature, and relying on it for legal or medical advice poses serious risks.",descriptive,AI maturity,llms_unreliable_for_critical_apps,"LLMs are too unreliable for high-stakes applications including medicine, law, autonomous vehicles, and robotics.",low,partial,mixed,none,
claim_0017,2023-02-02,gaslighting-and-reality-in-ai,Large language models do not represent robust world models of how events unfold over time.,descriptive,LLMs,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,supported,none,
claim_0018,2023-02-02,gaslighting-and-reality-in-ai,The lack of world models that represent how things unfold over time is the central flaw in large language models.,descriptive,LLMs,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,no,untestable,none,
claim_0019,2023-02-02,gaslighting-and-reality-in-ai,GPT systems still do not possess genuine understanding of what they are talking about.,descriptive,GPT systems,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,mixed,none,
claim_0020,2023-02-03,happy-groundhog-day-the-ai-edition,"Neural networks have struggled with compositionality, abstraction, and silly errors since the early 1990s.",descriptive,neural networks,llms_lack_compositionality,LLMs and neural nets fundamentally lack compositionality -- the ability to understand novel combinations of concepts.,med,partial,supported,none,
claim_0021,2023-02-03,happy-groundhog-day-the-ai-edition,Adding more hidden layers to neural networks did not solve the fundamental problems of compositionality and abstraction.,descriptive,deep neural networks,llms_lack_compositionality,LLMs and neural nets fundamentally lack compositionality -- the ability to understand novel combinations of concepts.,med,partial,mixed,none,
claim_0022,2023-02-03,happy-groundhog-day-the-ai-edition,LLM hallucinations are caused by an inability to keep track of knowledge about specific instances independently of general categories.,causal,LLM hallucinations,hallucination_unsolvable,LLM hallucination/confabulation is an inherent architectural limitation that cannot be fully solved within the current paradigm.,med,partial,mixed,none,
claim_0023,2023-02-03,happy-groundhog-day-the-ai-edition,"Deep learning has hit a wall on core problems like abstraction and compositionality, even as it has made progress on other dimensions.",descriptive,deep learning,llms_lack_compositionality,LLMs and neural nets fundamentally lack compositionality -- the ability to understand novel combinations of concepts.,med,partial,contradicted,none,
claim_0024,2023-02-03,happy-groundhog-day-the-ai-edition,"AGI cannot be achieved without solving abstraction, compositionality, and the type-token distinction.",predictive,AGI requirements,need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,low,no,pending,none,
claim_0025,2023-02-03,happy-groundhog-day-the-ai-edition,Current AI systems are superficial and fail in the real world through accumulation of edge-case failures.,descriptive,current AI systems,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,partial,mixed,none,
claim_0026,2023-02-04,some-things-garymarcus-might-say,LLMs are not on the path to human-level AI; they are a diversion from it. Marcus explicitly endorses LeCun's statement.,descriptive,LLMs and AGI,lecun_criticism,"Yann LeCun's positions (anti-symbolic, dismissive of risks) have been counterproductive for the AI field.",med,partial,contradicted,none,
claim_0027,2023-02-04,some-things-garymarcus-might-say,LLMs have a more superficial understanding of the world than a house cat. Marcus explicitly endorses LeCun's statement.,descriptive,LLMs,lecun_criticism,"Yann LeCun's positions (anti-symbolic, dismissive of risks) have been counterproductive for the AI field.",med,partial,contradicted,none,
claim_0028,2023-02-04,some-things-garymarcus-might-say,The general public does not yet understand the limitations of what LLMs like ChatGPT cannot do.,descriptive,public understanding of AI,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,partial,supported,none,
claim_0029,2023-02-09,oops-how-google-bombed-while-doing,A chatbot hallucination in Google's Bard demo cost Alphabet $100 billion in market value.,descriptive,Google Bard,hallucination_unsolvable,LLM hallucination/confabulation is an inherent architectural limitation that cannot be fully solved within the current paradigm.,high,yes,supported,none,
claim_0030,2023-02-09,oops-how-google-bombed-while-doing,"AI has a long history of impressive demos that never become solid products, and corporate reassurances about fixing AI errors should not be accepted uncritically.",descriptive,AI industry track record,ai_benchmarks_misleading,"AI benchmarks and demos are frequently misleading, creating false impressions of capabilities.",low,no,mixed,none,
claim_0031,2023-02-09,oops-how-google-bombed-while-doing,Scaling neural networks makes their output sound more authoritative but does not make it more truthful.,descriptive,scaling and truthfulness,hallucination_unsolvable,LLM hallucination/confabulation is an inherent architectural limitation that cannot be fully solved within the current paradigm.,med,partial,contradicted,none,
claim_0032,2023-02-09,oops-how-google-bombed-while-doing,"Hallucinations are an inherent architectural byproduct of how LLMs compress inputs, causing them to lose track of factual relations.",causal,LLM hallucinations,hallucination_unsolvable,LLM hallucination/confabulation is an inherent architectural limitation that cannot be fully solved within the current paradigm.,med,partial,mixed,none,
claim_0033,2023-02-09,oops-how-google-bombed-while-doing,"AI hallucination problems will eventually be solved, but likely require fresh discoveries and may take years or decades.",predictive,AI hallucinations,hallucination_unsolvable,LLM hallucination/confabulation is an inherent architectural limitation that cannot be fully solved within the current paradigm.,low,no,mixed,none,
claim_0034,2023-02-09,oops-how-google-bombed-while-doing,"If hallucination problems are not solved soon, users may abandon chat-based search and return to traditional search.",predictive,chat-based search,miscellaneous,Miscellaneous claims that do not fit neatly into any other cluster.,med,partial,contradicted,none,
claim_0035,2023-02-09,oops-how-google-bombed-while-doing,"Neither Google's nor Microsoft's chat search products have been subjected to proper scientific review, making reliability comparisons impossible.",descriptive,Google Bard and Bing Chat,ai_benchmarks_misleading,"AI benchmarks and demos are frequently misleading, creating false impressions of capabilities.",high,yes,supported,none,
claim_0036,2023-02-11,does-ai-really-need-a-paradigm-shift,There is approximately a 90% probability that AI needs a paradigm shift beyond current approaches to reach AGI.,predictive,AI paradigm shift,ai_needs_new_paradigm,"Fundamentally new AI approaches are needed because the current deep learning/LLM paradigm has inherent, unfixable limitations.",med,partial,pending,none,
claim_0037,2023-02-11,does-ai-really-need-a-paradigm-shift,There is approximately an 80% probability that symbol manipulation will need to be part of the mix to achieve AGI.,predictive,neurosymbolic AI,need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,med,partial,pending,none,
claim_0038,2023-02-11,does-ai-really-need-a-paradigm-shift,"Large-scale symbolic knowledge will be crucial for AGI, whenever it arrives.",predictive,AGI architecture,scaling_wont_reach_agi,"Simply scaling up LLM architectures (more data, parameters, compute) will not produce AGI or solve fundamental capability gaps.",low,no,pending,none,
claim_0039,2023-02-11,does-ai-really-need-a-paradigm-shift,Explicit cognitive models will be crucial for AGI.,predictive,AGI architecture,need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,low,no,pending,none,
claim_0040,2023-02-11,does-ai-really-need-a-paradigm-shift,"Operations over variables (storing, retrieving, comparing values) will be crucial for AGI.",predictive,AGI architecture,need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,low,no,pending,none,
claim_0041,2023-02-11,does-ai-really-need-a-paradigm-shift,An explicit type/token distinction will be crucial for AGI.,predictive,AGI architecture,need_hybrid_neurosymbolic,Progress toward AGI requires hybrid neurosymbolic architectures combining neural networks with structured symbolic reasoning.,low,no,pending,none,
claim_0042,2023-02-11,does-ai-really-need-a-paradigm-shift,There is less than a 20% chance that AGI can be achieved with scaling and CNNs + RNNs + Transformers alone.,predictive,scaling and current architectures,scaling_wont_reach_agi,"Simply scaling up LLM architectures (more data, parameters, compute) will not produce AGI or solve fundamental capability gaps.",med,partial,pending,none,
claim_0043,2023-02-11,does-ai-really-need-a-paradigm-shift,Fundamental concepts needed for human-level AI are still missing from current approaches. Marcus explicitly endorses LeCun's statement.,descriptive,AI progress,lecun_criticism,"Yann LeCun's positions (anti-symbolic, dismissive of risks) have been counterproductive for the AI field.",low,no,mixed,none,
claim_0044,2023-02-11,does-ai-really-need-a-paradigm-shift,"Large language models show improvement with scale on some measures but not on others, particularly reasoning and common sense.",descriptive,LLM scaling,llms_cannot_reason_reliably,"LLMs cannot perform genuine, reliable reasoning; they approximate it through statistical pattern matching that breaks on novel problems.",med,partial,supported,none,
claim_0045,2023-02-11,horse-rides-astronaut,Text-to-image systems like Imagen do not understand the semantic meaning of their text prompts.,descriptive,text-to-image models,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,high,partial,mixed,none,
claim_0046,2023-02-11,horse-rides-astronaut,Text-to-image systems like Imagen rely on approximate keyword matching rather than genuine language understanding.,descriptive,text-to-image models,ai_image_gen_unreliable,"AI image generation systems fail at compositional understanding, spatial relationships, and faithful prompt adherence.",med,partial,supported,none,
claim_0047,2023-02-11,horse-rides-astronaut,No one currently knows how to build an AI system that derives compositional semantics from syntax.,descriptive,AI compositionality,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,low,partial,mixed,none,
claim_0048,2023-02-11,horse-rides-astronaut,Prompt engineering to coax correct outputs from AI systems is insufficient for building reliable AI.,descriptive,prompt engineering,llm_reliability_fundamental,"LLM unreliability is a fundamental architectural issue, not a bug fixable with more training or RLHF.",low,no,supported,none,
claim_0049,2023-02-11,horse-rides-astronaut,"Current text-to-image systems represent phrases as flat strings rather than hierarchical syntactic structures, which is why they fail at compositional understanding.",causal,text-to-image architecture,llms_lack_world_models,LLMs do not build genuine world models or understand the world; they manipulate statistical patterns without comprehension.,med,partial,supported,none,
claim_0050,2023-02-11,noam-chomsky-and-gpt-3,LLMs like GPT-3 merely mimic statistical patterns of language use and provide no explanatory value about how the world works.,descriptive,LLMs as scientific models,ai_roi_disappointing,"AI ROI has been deeply disappointing; companies spend far more on AI than they earn, productivity gains remain elusive.",med,partial,mixed,none,
claim_0051,2023-02-11,noam-chomsky-and-gpt-3,The ability to predict word sequences does not reveal anything about human language cognition.,descriptive,LLMs as cognitive models,miscellaneous,Miscellaneous claims that do not fit neatly into any other cluster.,low,no,contradicted,none,
claim_0052,2023-02-11,noam-chomsky-and-gpt-3,"LLMs like GPT-3 approximate blank-slate learning systems, relying on massive data rather than prior knowledge.",descriptive,LLM architecture,llms_no_real_understanding,LLMs are fundamentally statistical pattern matchers / next-word predictors without genuine understanding.,med,partial,supported,none,
