cluster2_id,theme_label,target_mode,claim_type_mode,category_mode,falsifiability_tier_mode,first_date,last_date,occurrences,distinct_posts,horizon_values,goalpost_shift_candidate,representative_quote,supporting_claim_ids,source_urls
cluster2_25f8ea7c749c,forbes_read_rebooting_books,general_ai,normative,policy,tier_3,2023-02-18,2024-12-09,3,3,,no,"Together, they are the authors of Rebooting AI: Building Artificial intelligence We Can Trust , one of Forbes's 7 Must Read Books in AI .",claim_00147;claim_00154;claim_00650,https://garymarcus.substack.com/p/dont-ride-this-bike-generative-ais;https://garymarcus.substack.com/p/how-not-to-test-gpt-3;https://garymarcus.substack.com/p/large-language-models-like-chatgpt
cluster2_e8f5b74f7c7b,training_obvious_stop_years,general_ai,normative,policy,tier_3,2023-10-10,2025-03-09,3,3,2016-12-31,no,Geoffrey Hinton: I think in five years' time it may well be able to reason better than us Gary Marcus: In 2016 you said that it was “quite obvious that we should stop training radiologists” because deep learning was getting so good.,claim_00294;claim_00750;claim_00771,https://garymarcus.substack.com/p/decoding-and-debunking-hard-forks;https://garymarcus.substack.com/p/nobel-prizes-and-the-ai-hype-hall;https://garymarcus.substack.com/p/what-was-60-minutes-thinking-in-that
cluster2_a4faf65c6729,artificial_hindsight_bigger_scaling,agi,predictive,prediction,tier_2,2023-02-15,2025-12-01,3,3,,no,"When AGI (artificial intelligence) comes, large language models like GPT-4 may be seen in hindsight as part of the eventual solution, but only as part of the solution . “Scaling” alone—building bigger and models until they absorb the entire internet — will prove useful, but only to a point.",claim_00107;claim_00942;claim_01038,https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_cb480f17ae77,control_reckless_shop_hard,llms,predictive,prediction,tier_2,2023-02-15,2025-12-01,3,3,2022-12-31,no,"And so, against the tremendous optimism for GPT-4 that I have heard from much the AI community, here are seven dark predictions: GPT-4 will still, like its predecessors, be a bull in a china shop, reckless and hard to control .",claim_00099;claim_00936;claim_01035,https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_f1c6dadd2d05,false_tool_misinformation_induced,llms,predictive,prediction,tier_2,2023-02-15,2025-12-01,3,3,,no,"Fluent hallucinations will still be common , and easily induced, continuing—and in in fact escalating— the risk of large language models being used as a tool for creating plausible-sounding yet false misinformation.",claim_00102;claim_00938;claim_01036,https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_fc7a0fb9e93e,degree_lacking_artificial_come,llms,predictive,prediction,tier_3,2023-02-15,2025-12-01,3,3,,no,"Trustworthy, general artificial intelligence, aligned with human values, will come, when it does, from systems that are more structured, with more built-in knowledge, and will incorporate at least some degree of explicit tools for reasoning and planning, as well as explicit it knowledge, that are lacking in systems like GPT.",claim_00108;claim_00943;claim_01039,https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_0891c70e894b,humanity_generate_november_unconstrained,openai,normative,policy,tier_3,2024-03-03,2024-05-26,3,3,2023-12-31,no,"Or what they said as recently as November 2023, in their most recent nonprofit tax filing: OpenAI’s mission is to build general-purpose artificial intelligence (AI) that safely benefits humanity, unconstrained by a need to generate financial return.",claim_00426;claim_00490;claim_00492,https://garymarcus.substack.com/p/scarjo-is-just-the-tip-of-the-iceberg;https://garymarcus.substack.com/p/the-irony-and-the-agony-of-elon-musks;https://garymarcus.substack.com/p/what-should-we-learn-from-openais
cluster2_9a302b9fca86,remain_critical_tool_want,ai_safety,predictive,prediction,tier_3,2023-02-15,2025-12-01,3,3,,no,"It will remain turbocharged pastiche generator, and a fine tool for brainstorming, and for first drafts, but not trustworthy general intelligence. “Alignment” between what humans want and what machines do will continue to be a critical, unsolved problem .",claim_00106;claim_00941;claim_01037,https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
cluster2_8bbb3abc8ba5,started_lead_where_back,general_ai,normative,policy,tier_3,2022-05-29,2025-12-17,2,2,,no,"And really, it should lead us back to where the founders of AI started.",claim_00005;claim_01063,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
cluster2_1629c3724245,know_machines_especially_such,general_ai,predictive,prediction,tier_3,2023-10-26,2024-02-12,2,2,,no,"I don’t know when we will get to such machines, but I do know that we don’t have tons of controls over current AI, especially now that people can hook them up to TaskRabbit and real-world software APIs.",claim_00322;claim_00405,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/ai-risk-agi-risk
cluster2_c36bc50f2359,drawing_surely_may_trustworthy,general_ai,normative,policy,tier_3,2024-04-13,2024-11-09,2,2,,no,"Reliable, trustworthy AI is surely achievable, but we may need to go back to the drawing board to get there.",claim_00462;claim_00619,https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a
cluster2_103af516986c,continue_generative_haunt_reliability,general_ai,predictive,prediction,tier_3,2025-01-01,2025-01-01,2,1,,no,Reasoning flubs will continue to haunt generative AI.,claim_00673;claim_00675,https://garymarcus.substack.com/p/25-ai-predictions-for-2025-from-marcus
cluster2_84ff11eec967,narrow_endlessly_hyped_possibly,general_ai,predictive,capability,tier_1,2025-01-01,2025-08-03,2,2,2025-12-31,no,"AI “Agents” will be endlessly hyped throughout 2025 but far from reliable, except possibly in very narrow use cases.",claim_00676;claim_00946,https://garymarcus.substack.com/p/25-ai-predictions-for-2025-from-marcus;https://garymarcus.substack.com/p/ai-agents-have-so-far-mostly-been
