theme3_id,cluster2_id,target_mode,claim_type_mode,first_date,last_date,occurrences,status_at_eval,confidence,as_of_date,theme_reason,theme_sources,representative_quote
theme3_023d31465c4a,cluster2_bfe1e65b01a8,microsoft,normative,2024-05-29,2024-05-29,1,untestable,high,2026-03-02,Normative/prescriptive theme without a clear falsification condition.,https://openai.com/index/introducing-gpt-5/,"The first thing that I will tell you is that each of those not so-gentle men scored some points; neither kept things above the belt. § The second is that I probably should have listened to Gemini (courtesy Phil Libin) below, in one of its finer moments, and stayed out of this: Alas, I am now succumbing to peer pressure :( § So, game on, here are some snippets from the brawl."
theme3_03bbb277b41d,cluster2_0e574251b500,general_ai,predictive,2023-02-14,2023-02-14,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,"What aspects of Cicero’s execution architecture, training architecture, or general methodological approach will be useful if we want to build an AI that is useful for some complex interaction with people outside the closed and limited world of Diplomacy?"
theme3_03bbb277b41d,cluster2_f11e503ec1e8,general_ai,predictive,2024-02-24,2024-02-24,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,License to the author via cartoonstock.com I do think AI will eventually work reliably.
theme3_03bbb277b41d,cluster2_2f4ad17f0289,general_ai,predictive,2024-11-23,2024-11-23,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,"He still thinks that symbol-manipulation, as discussed in his 2001 book The Algebraic Mind and again in the second half of “Deep learning is hitting a wall” will be part of the solution."
theme3_03bbb277b41d,cluster2_d36f004b16c8,general_ai,predictive,2025-01-29,2025-01-29,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,"For example he writes authoritatively (chatbot-style!) that ""Making AI that is smarter than almost all humans at almost all things will require millions of chips, tens of billions of dollars (at least), and is most likely to happen in 2026-2027."" We don't actual KNOW this; we humans are flexible, general, resourceful thinkers but it is not at all clear that we actually need the equivalent of millions of chips to achieve what we do."
theme3_03bbb277b41d,cluster2_fe3ae5216bca,general_ai,predictive,2025-08-23,2025-08-23,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,"Here they are, crowing about supposed AI efficiencies, thought by some to preening before the market before a possible IPO, in 2024: And here they are again, walking it all back in February 2025."
theme3_03bbb277b41d,cluster2_929eb1cd2f1e,general_ai,predictive,2025-10-27,2025-10-27,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,"More likely, to my mind, is that generative AI will become a mildly useful, widely used commodity that never makes much money for anyone other than chip companies."
theme3_03bbb277b41d,cluster2_17c7e772b7fb,general_ai,predictive,2025-12-23,2025-12-23,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,"The Information quotes an exec there as saying that trust in generative AI (you know, the kind that you need all those data centers for) has declined over the last year: Needless to say, the speculative America, buying chips and building data centers on the hope that it will pay off, is at odds with the growing disappointment."
theme3_03bbb277b41d,cluster2_f1af3589377c,general_ai,predictive,2026-02-10,2026-02-10,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,Let me add that I do think that some form of AI will eventually actually yield the returns people were anticipating for Generative AI.
theme3_051f3b425aa5,cluster2_931b102f5fdb,llms,predictive,2023-02-15,2023-02-15,1,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,"Reasoning about physical, psychological and mathematical world will still be unreliable , GPT-3 was challenged in theory of mind, medical and physical reasoning."
