theme3_id,theme_label,step_index,from_cluster2_id,to_cluster2_id,from_date,to_date,from_horizon_values,to_horizon_values,horizon_drift,from_certainty,to_certainty,certainty_drift,lexical_drift,drift_score,from_quote,to_quote
theme3_03bbb277b41d,copyright_ip,1,cluster2_0e574251b500,cluster2_f11e503ec1e8,2023-02-14,2024-02-24,,,stable,balanced,balanced,stable,1.000,1,"What aspects of Cicero’s execution architecture, training architecture, or general methodological approach will be useful if we want to build an AI that is useful for some complex interaction with people outside the closed and limited world of Diplomacy?",License to the author via cartoonstock.com I do think AI will eventually work reliably.
theme3_03bbb277b41d,copyright_ip,2,cluster2_f11e503ec1e8,cluster2_2f4ad17f0289,2024-02-24,2024-11-23,,2001-12-31,more_specific,balanced,balanced,stable,1.000,1,License to the author via cartoonstock.com I do think AI will eventually work reliably.,"He still thinks that symbol-manipulation, as discussed in his 2001 book The Algebraic Mind and again in the second half of “Deep learning is hitting a wall” will be part of the solution."
theme3_03bbb277b41d,copyright_ip,3,cluster2_2f4ad17f0289,cluster2_d36f004b16c8,2024-11-23,2025-01-29,2001-12-31,2026-12-31,deadline_pushed_out,balanced,balanced,stable,1.000,2,"He still thinks that symbol-manipulation, as discussed in his 2001 book The Algebraic Mind and again in the second half of “Deep learning is hitting a wall” will be part of the solution.","For example he writes authoritatively (chatbot-style!) that ""Making AI that is smarter than almost all humans at almost all things will require millions of chips, tens of billions of dollars (at least), and is most likely to happen in 2026-2027."" We don't actual KNOW this; we humans are flexible, general, resourceful thinkers but it is not at all clear that we actually need the equivalent of millions of chips to achieve what we do."
theme3_03bbb277b41d,copyright_ip,4,cluster2_d36f004b16c8,cluster2_fe3ae5216bca,2025-01-29,2025-08-23,2026-12-31,2024-12-31,deadline_pulled_in,balanced,balanced,stable,0.981,1,"For example he writes authoritatively (chatbot-style!) that ""Making AI that is smarter than almost all humans at almost all things will require millions of chips, tens of billions of dollars (at least), and is most likely to happen in 2026-2027."" We don't actual KNOW this; we humans are flexible, general, resourceful thinkers but it is not at all clear that we actually need the equivalent of millions of chips to achieve what we do.","Here they are, crowing about supposed AI efficiencies, thought by some to preening before the market before a possible IPO, in 2024: And here they are again, walking it all back in February 2025."
theme3_03bbb277b41d,copyright_ip,5,cluster2_fe3ae5216bca,cluster2_929eb1cd2f1e,2025-08-23,2025-10-27,2024-12-31,,less_specific,balanced,high_assertion,changed,1.000,2,"Here they are, crowing about supposed AI efficiencies, thought by some to preening before the market before a possible IPO, in 2024: And here they are again, walking it all back in February 2025.","More likely, to my mind, is that generative AI will become a mildly useful, widely used commodity that never makes much money for anyone other than chip companies."
theme3_03bbb277b41d,copyright_ip,6,cluster2_929eb1cd2f1e,cluster2_17c7e772b7fb,2025-10-27,2025-12-23,,,stable,high_assertion,balanced,changed,0.977,1,"More likely, to my mind, is that generative AI will become a mildly useful, widely used commodity that never makes much money for anyone other than chip companies.","The Information quotes an exec there as saying that trust in generative AI (you know, the kind that you need all those data centers for) has declined over the last year: Needless to say, the speculative America, buying chips and building data centers on the hope that it will pay off, is at odds with the growing disappointment."
theme3_03bbb277b41d,copyright_ip,7,cluster2_17c7e772b7fb,cluster2_f1af3589377c,2025-12-23,2026-02-10,,,stable,balanced,balanced,stable,0.975,1,"The Information quotes an exec there as saying that trust in generative AI (you know, the kind that you need all those data centers for) has declined over the last year: Needless to say, the speculative America, buying chips and building data centers on the hope that it will pay off, is at odds with the growing disappointment.",Let me add that I do think that some form of AI will eventually actually yield the returns people were anticipating for Generative AI.
theme3_051f3b425aa5,reasoning_common_sense,1,cluster2_931b102f5fdb,cluster2_a4b7d7f87e1c,2023-02-15,2023-02-15,,,stable,balanced,balanced,stable,1.000,1,"Reasoning about physical, psychological and mathematical world will still be unreliable , GPT-3 was challenged in theory of mind, medical and physical reasoning.","Guardrails (a la ChatGPT) may be in place, but the guardrails will teeter between being too weak (beaten by “jailbreaks”) and too strong (rejecting some perfectly reasonable requests)."
theme3_051f3b425aa5,reasoning_common_sense,2,cluster2_a4b7d7f87e1c,cluster2_fc7a0fb9e93e,2023-02-15,2023-02-15,,,stable,balanced,high_assertion,changed,0.975,1,"Guardrails (a la ChatGPT) may be in place, but the guardrails will teeter between being too weak (beaten by “jailbreaks”) and too strong (rejecting some perfectly reasonable requests).","Trustworthy, general artificial intelligence, aligned with human values, will come, when it does, from systems that are more structured, with more built-in knowledge, and will incorporate at least some degree of explicit tools for reasoning and planning, as well as explicit it knowledge, that are lacking in systems like GPT."
theme3_051f3b425aa5,reasoning_common_sense,3,cluster2_fc7a0fb9e93e,cluster2_173455421d76,2023-02-15,2025-01-14,,,stable,high_assertion,high_assertion,stable,0.952,1,"Trustworthy, general artificial intelligence, aligned with human values, will come, when it does, from systems that are more structured, with more built-in knowledge, and will incorporate at least some degree of explicit tools for reasoning and planning, as well as explicit it knowledge, that are lacking in systems like GPT.","We can never guarantee that broad but shallow AI will be safe, or that it will be human-compatible (in the words of Stuart Russell), or that it will do what we ask of it. § For all these reasons, I propose that we call LLMs broad, shallow intelligence.."
