theme3_id,theme_label,target_mode,claim_type_mode,category_mode,falsifiability_tier_mode,first_date,last_date,claim_occurrences,c2_clusters_merged,horizon_values,goalpost_shift_candidate_theme,goalpost_shift_flag,goalpost_shift_score,horizon_shift_type,certainty_shift,status_at_eval,confidence,as_of_date,reason,sources,representative_quote,cluster2_ids,source_urls
theme3_7d22014cb9c1,openai_governance,openai,predictive,prediction,tier_2,2023-10-17,2026-02-27,21,21,2023-12-31;near_term,yes,yes,3,deadline_pushed_out,hardened,contradicted,medium,2026-03-02,GPT-5 launched publicly; specific deferment/failure framing is contradicted by release evidence.,https://openai.com/index/introducing-gpt-5/;https://openai.com/our-structure/,"If Yann LeCun and I are correct, AI will need genuinely new paradigms to get to the next level in AI, and OpenAI may be no closer to that than anyone else. § If GPT-5 did fail to please, or even if it were just deferred indefinitely (like so many promises that have been about driverless cars), it could have a rapid, deflationary effect on sky-high valuations.",cluster2_0a0af98cec93;cluster2_2578113b4e2e;cluster2_3a30a47e741b;cluster2_3af7213a335f;cluster2_4ccb1c9af8b9;cluster2_4d1408b05644;cluster2_4e56549220ea;cluster2_51054f5db7aa;cluster2_54d1904d91ce;cluster2_66b70047be4d;cluster2_78181e1324f1;cluster2_845ab3a24e71;cluster2_962e55305f45;cluster2_a6e467bb6987;cluster2_b0152b5d1e71;cluster2_cc88222ba771;cluster2_d0519865ab11;cluster2_e7f408dc6074;cluster2_e9ebc7772031;cluster2_ea98392d5e11;cluster2_ed076d0718c5,https://garymarcus.substack.com/p/an-epidemic-of-weirdly-precise-ai;https://garymarcus.substack.com/p/breaking-openai-is-probably-toast;https://garymarcus.substack.com/p/breaking-openais-efforts-at-pure;https://garymarcus.substack.com/p/deepmind-and-openai-achieve-imo-gold;https://garymarcus.substack.com/p/does-openais-new-financing-make-sense;https://garymarcus.substack.com/p/eric-schmidts-risky-bet-on-ai-and;https://garymarcus.substack.com/p/gary-marcus-vs-sam-altman-on-gpt;https://garymarcus.substack.com/p/gpt-5-overdue-overhyped-and-underwhelming;https://garymarcus.substack.com/p/has-sam-altman-gone-full-gary-marcus;https://garymarcus.substack.com/p/hot-take-on-an-ai-catfight;https://garymarcus.substack.com/p/is-the-great-ai-meltdown-imminent;https://garymarcus.substack.com/p/openais-got-99-problems-and-twitch;https://garymarcus.substack.com/p/seven-reasons-why-the-world-should;https://garymarcus.substack.com/p/super-bowl-matchup-anthropic-vs-openai;https://garymarcus.substack.com/p/the-openai-plot-thickens;https://garymarcus.substack.com/p/the-race-for-ai-supremacy-is-over;https://garymarcus.substack.com/p/the-sam-altman-playbook;https://garymarcus.substack.com/p/what-if-gpt-5-didnt-meet-expectations;https://garymarcus.substack.com/p/when-looked-at-carefully-openais;https://garymarcus.substack.com/p/when-will-the-genai-bubble-burst
theme3_45dd29a88dd4,safety_alignment,ai_safety,descriptive,technical_assessment,tier_2,2023-04-02,2026-02-13,15,15,,no,no,0,none,hardened,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,A world in which cancer researchers belittled auto safety researchers (or vice versa) is not one I would want to live in.,cluster2_3f37bd7be635;cluster2_41558da79f6d;cluster2_4e7806843743;cluster2_5a53cfc710e5;cluster2_71fd5eca9313;cluster2_8a94f7693a54;cluster2_98ceee38d54f;cluster2_a9940b5175c6;cluster2_b6be51644593;cluster2_be282365bd28;cluster2_c12438e7b1b9;cluster2_c4a5c7a18664;cluster2_d0913220be49;cluster2_ddf4f73e7ad0;cluster2_f47a0206002a,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/an-open-letter-to-fei-fei-li-concerning;https://garymarcus.substack.com/p/chaos-and-tension-at-openai;https://garymarcus.substack.com/p/d28;https://garymarcus.substack.com/p/disturbing-and-misleading-efforts;https://garymarcus.substack.com/p/eric-schmidts-risky-bet-on-ai-and;https://garymarcus.substack.com/p/hype-anthropics-dario-amodei-the;https://garymarcus.substack.com/p/i-am-not-afraid-of-robots-i-am-afraid;https://garymarcus.substack.com/p/irony-irony-laced-with-karma-and;https://garymarcus.substack.com/p/the-first-known-chatbot-associated;https://garymarcus.substack.com/p/top-5-reasons-why-openai-was-probably;https://garymarcus.substack.com/p/what-was-60-minutes-thinking-in-that
theme3_6243728cd866,openai_governance,openai,descriptive,technical_assessment,tier_2,2023-09-21,2026-01-13,12,12,,no,no,0,none,hardened,contradicted,high,2026-03-02,"Specific GPT-5 pause/defer/failure framing conflicts with documented public GPT-5 release on August 7, 2025.",https://openai.com/index/introducing-gpt-5/;https://openai.com/our-structure/,"Ironically, GPT-5–which is essentially the only thing that the pause letter (if you read it carefully) actually proposed to pause— does actually seem to be on pause , if Sam Altman’s May Senate testimony meant what I think it did.",cluster2_074e22abb29c;cluster2_1495ca5fa102;cluster2_2add04f7fb36;cluster2_4f97c7f27e47;cluster2_5023e5f72ee3;cluster2_569ba24850cf;cluster2_67d51eb2dda8;cluster2_73d648280bd5;cluster2_a4480c60ffe9;cluster2_dcd45db82f67;cluster2_e87a69c65c1d;cluster2_ed7fd5513b78,https://garymarcus.substack.com/p/ai-agents-have-so-far-mostly-been;https://garymarcus.substack.com/p/august-5-2024-a-big-day-in-tech;https://garymarcus.substack.com/p/could-openais-nonprofit-be-forced;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a;https://garymarcus.substack.com/p/hot-take-on-openais-new-gpt-4o;https://garymarcus.substack.com/p/not-consistently-candid;https://garymarcus.substack.com/p/sam-altman-thinks-that-agi-is-basically;https://garymarcus.substack.com/p/self-modern-post-parody;https://garymarcus.substack.com/p/six-months-after-the-pause-letter;https://garymarcus.substack.com/p/sora-cant-handle-the-truth;https://garymarcus.substack.com/p/the-rapid-rise-and-slow-decline-of;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt
theme3_1153785f29bf,safety_alignment,ai_safety,predictive,prediction,tier_3,2023-02-16,2026-02-23,11,11,near_term,no,no,0,none,hardened,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,"As such, I suspect we are indeed in almost perfect alignment as to the essence of the future except that we are slip sliding on the edges of these symbols.",cluster2_00cbaef0208a;cluster2_3dec21a8cf25;cluster2_4b86da1eec1b;cluster2_5620ee5cfe93;cluster2_a84b83e91e68;cluster2_a8c240732db5;cluster2_c38a5a07d625;cluster2_c69e931111d8;cluster2_f5aae2d10dd3;cluster2_f6e124c46c1e;cluster2_fb5aec239690,https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime;https://garymarcus.substack.com/p/d28;https://garymarcus.substack.com/p/end-of-an-era-openais-agi-readiness;https://garymarcus.substack.com/p/eric-schmidts-risky-bet-on-ai-and;https://garymarcus.substack.com/p/hard-forked-casey-newtons-distorted;https://garymarcus.substack.com/p/muddles-about-models;https://garymarcus.substack.com/p/turns-out-generative-ai-was-a-scam;https://garymarcus.substack.com/p/what-will-the-candidates-say-about;https://garymarcus.substack.com/p/why-californias-ai-safety-bill-should
theme3_843083c99dae,hallucination_misinformation,llms,descriptive,technical_assessment,tier_3,2023-02-16,2025-12-01,11,11,,no,no,1,none,softened,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on,"If you treat ChatGPT as a sentient being, when it clearly is not, you are misleading the public into thinking ChatGPT is sentient; rather than communicating good science, you are hyping bullshit.",cluster2_102bebbe59bf;cluster2_3dead0b718e0;cluster2_4e5114d1c6d2;cluster2_6cb83b12e457;cluster2_8f966ddd439d;cluster2_9a5bec033295;cluster2_a453bdb54efd;cluster2_ab47c3eb54b3;cluster2_badbd11aabe1;cluster2_e168741f56d0;cluster2_ef7312c16783,https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime;https://garymarcus.substack.com/p/deconstructing-geoffrey-hintons-weakest;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a;https://garymarcus.substack.com/p/five-ways-in-which-the-last-3-months;https://garymarcus.substack.com/p/humans-versus-machines-the-hallucination;https://garymarcus.substack.com/p/llms-dishonest-unpredictable-and;https://garymarcus.substack.com/p/scientists-please-dont-let-your-chatbots;https://garymarcus.substack.com/p/the-long-shadow-of-gpt;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/two-years-later-deep-learning-is
theme3_edacd814a9aa,hallucination_misinformation,ai_safety,predictive,prediction,tier_3,2023-02-14,2026-01-06,11,9,near_term,no,no,1,none,softened,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on,"If you don’t get a handle on the sea of misinformation, Twitter will drown in it.",cluster2_1450ca8b3a7c;cluster2_26e0189a6f88;cluster2_3b04ea466293;cluster2_5dca83675b2f;cluster2_841e64316024;cluster2_94de974940cc;cluster2_9a302b9fca86;cluster2_f92debba6b2a;cluster2_f9e714f7e044,https://garymarcus.substack.com/p/automatic-disinformation-threatens;https://garymarcus.substack.com/p/bravo-elonmusk-for-wanting-twitter;https://garymarcus.substack.com/p/dont-look-up-the-ai-edition;https://garymarcus.substack.com/p/inside-the-heart-of-chatgpts-darkness;https://garymarcus.substack.com/p/is-it-time-to-hit-the-pause-button;https://garymarcus.substack.com/p/should-we-worry-more-about-short;https://garymarcus.substack.com/p/six-months-after-the-pause-letter;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e;https://garymarcus.substack.com/p/why-chatgpt-cant-be-trusted-with
theme3_696ea994cd91,safety_alignment,ai_safety,causal,prediction,tier_2,2023-08-27,2025-06-23,9,9,2027-12-31,no,no,0,none,stable,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,I do think there is a lot of risk that AI will cause chaos.,cluster2_1c799239d026;cluster2_42f5efa41493;cluster2_54733ae89498;cluster2_65f1bb9b3c04;cluster2_820bc8cd73a0;cluster2_cf0f534ef0af;cluster2_e928a0fa527f;cluster2_f2424b3bcf86;cluster2_f38689a0141c,https://garymarcus.substack.com/p/an-open-letter-to-fei-fei-li-concerning;https://garymarcus.substack.com/p/d28;https://garymarcus.substack.com/p/llms-dishonest-unpredictable-and;https://garymarcus.substack.com/p/the-ai-2027-scenario-how-realistic;https://garymarcus.substack.com/p/the-misguided-backlash-against-californias;https://garymarcus.substack.com/p/the-sam-altman-playbook;https://garymarcus.substack.com/p/two-visions-of-ais-future;https://garymarcus.substack.com/p/when-it-comes-to-ai-policy-congress;https://garymarcus.substack.com/p/why-californias-ai-safety-bill-should
theme3_a708e869f9a5,hallucination_misinformation,llms,predictive,prediction,tier_1,2023-02-15,2025-12-30,9,7,2014-12-31;2023-12-31,yes,yes,4,deadline_pushed_out;less_specific_over_time,stable,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on,"Fluent hallucinations will still be common , and easily induced, continuing—and in in fact escalating— the risk of large language models being used as a tool for creating plausible-sounding yet false misinformation.",cluster2_629e75178dcd;cluster2_6b29ab6a716d;cluster2_7225e5cc81f2;cluster2_cc4a8b67b4f1;cluster2_f1c6dadd2d05;cluster2_f43c861495d1;cluster2_f75360944781,https://garymarcus.substack.com/p/ai-cartoon-of-the-year-and-five-rereadings;https://garymarcus.substack.com/p/bad-actors-are-grooming-llms-to-produce;https://garymarcus.substack.com/p/no-virginia-agi-is-not-imminent;https://garymarcus.substack.com/p/the-ai-2027-scenario-how-realistic;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e;https://garymarcus.substack.com/p/why-do-large-language-models-hallucinate
theme3_8fe53b7d86e3,regulation_policy,regulation,predictive,prediction,tier_3,2023-02-26,2026-02-01,8,8,,no,no,0,none,stable,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113,"Leave technology companies to their own devices, trust them to sort themselves out without any more regulations, and hope they will learn to corral their AI and find better, less chaotic ways of rolling them out.",cluster2_09289df32930;cluster2_0a4e4b67b36c;cluster2_0f1b7d917ca4;cluster2_34639c3c612b;cluster2_568908be270d;cluster2_58a81103f89e;cluster2_68ccc7882b9a;cluster2_7b5630cacd8e,https://garymarcus.substack.com/p/25-ai-predictions-for-2025-from-marcus;https://garymarcus.substack.com/p/give-me-compromise-or-give-me-chaos;https://garymarcus.substack.com/p/is-it-time-to-hit-the-pause-button;https://garymarcus.substack.com/p/is-the-white-houses-ai-policy-coherent;https://garymarcus.substack.com/p/openclaw-aka-moltbot-is-everywhere;https://garymarcus.substack.com/p/the-possibly-coming-ai-backlash-and;https://garymarcus.substack.com/p/when-it-comes-to-ai-policy-congress
theme3_aa23f30fb332,safety_alignment,llms,predictive,prediction,tier_1,2023-02-15,2025-12-09,7,5,2022-12-31,no,no,1,less_specific_over_time,stable,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,"And so, against the tremendous optimism for GPT-4 that I have heard from much the AI community, here are seven dark predictions: GPT-4 will still, like its predecessors, be a bull in a china shop, reckless and hard to control .",cluster2_2e8dd3eba05d;cluster2_9b70fb170a99;cluster2_a96df6a889fe;cluster2_cb480f17ae77;cluster2_ecbbea53d4ed,https://garymarcus.substack.com/p/eric-schmidts-risky-bet-on-ai-and;https://garymarcus.substack.com/p/first-take-on-the-white-house-executive;https://garymarcus.substack.com/p/is-the-white-houses-ai-policy-coherent;https://garymarcus.substack.com/p/llms-dishonest-unpredictable-and;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
