theme3_id,theme_label,target_mode,claim_type_mode,first_date,last_date,c2_clusters_merged,claim_occurrences,distinct_horizon_values,horizon_shift_detected,horizon_shift_type,certainty_shift,goalpost_shift_score,goalpost_shift_flag,cluster2_ids,representative_quote
theme3_3c553598e33f,agi_timeline,agi,predictive,2023-02-11,2025-12-01,40,41,2023-12-31;2025-12-31;2027-12-31;2029-12-31;near_term;this_decade,yes,deadline_pushed_out;less_specific_over_time,hardened,4,yes,cluster2_00996b6a7f3e;cluster2_0c5017c359d6;cluster2_14691968a363;cluster2_14fdbc2d479a;cluster2_166f12ae45af;cluster2_1ab79ae4134e;cluster2_1bac5a0f886e;cluster2_40b7af64913c;cluster2_4617a30f82e1;cluster2_4d4972f710bb;cluster2_50ff030b0f90;cluster2_57f823c45a22;cluster2_6312fecddd30;cluster2_723391a7e57c;cluster2_758eb339f5b6;cluster2_8151691ce14d;cluster2_844e3ccd35b4;cluster2_84f4053d868b;cluster2_88a974fdd058;cluster2_898d77ac5aa2;cluster2_8b0d3b10ad62;cluster2_8f6a825f544c;cluster2_937a7a9ae2d6;cluster2_9aa09566059a;cluster2_9b022ceb42cf;cluster2_9b93f713b7c3;cluster2_a841bb4a554e;cluster2_b7f9f8cd3cb0;cluster2_ba4ac691cf68;cluster2_bf314b2e61c9;cluster2_bf8b39744567;cluster2_c6db08aebbaa;cluster2_cfe516d528f9;cluster2_db35293f27db;cluster2_dbd684e667a7;cluster2_e9e732acc36d;cluster2_e9fc9ecdcdf0;cluster2_f6ecd58b417b;cluster2_fc3d5f639ef5;cluster2_fccb2fae5093,"None of the software in either of those systems has survived in modern efforts at “artificial general intelligence”, and I am not sure that LaMDA and its cousins will play any important role in the future of AI, either."
theme3_a708e869f9a5,hallucination_misinformation,llms,predictive,2023-02-15,2025-12-30,7,9,2014-12-31;2023-12-31,yes,deadline_pushed_out;less_specific_over_time,stable,4,yes,cluster2_629e75178dcd;cluster2_6b29ab6a716d;cluster2_7225e5cc81f2;cluster2_cc4a8b67b4f1;cluster2_f1c6dadd2d05;cluster2_f43c861495d1;cluster2_f75360944781,"Fluent hallucinations will still be common , and easily induced, continuing—and in in fact escalating— the risk of large language models being used as a tool for creating plausible-sounding yet false misinformation."
theme3_03bbb277b41d,copyright_ip,general_ai,predictive,2023-02-14,2026-02-10,8,8,2001-12-31;2024-12-31;2026-12-31,yes,deadline_pushed_out;less_specific_over_time,hardened,4,yes,cluster2_0e574251b500;cluster2_17c7e772b7fb;cluster2_2f4ad17f0289;cluster2_929eb1cd2f1e;cluster2_d36f004b16c8;cluster2_f11e503ec1e8;cluster2_f1af3589377c;cluster2_fe3ae5216bca,"What aspects of Cicero’s execution architecture, training architecture, or general methodological approach will be useful if we want to build an AI that is useful for some complex interaction with people outside the closed and limited world of Diplomacy?"
theme3_7d22014cb9c1,openai_governance,openai,predictive,2023-10-17,2026-02-27,21,21,2023-12-31;near_term,yes,deadline_pushed_out,hardened,3,yes,cluster2_0a0af98cec93;cluster2_2578113b4e2e;cluster2_3a30a47e741b;cluster2_3af7213a335f;cluster2_4ccb1c9af8b9;cluster2_4d1408b05644;cluster2_4e56549220ea;cluster2_51054f5db7aa;cluster2_54d1904d91ce;cluster2_66b70047be4d;cluster2_78181e1324f1;cluster2_845ab3a24e71;cluster2_962e55305f45;cluster2_a6e467bb6987;cluster2_b0152b5d1e71;cluster2_cc88222ba771;cluster2_d0519865ab11;cluster2_e7f408dc6074;cluster2_e9ebc7772031;cluster2_ea98392d5e11;cluster2_ed076d0718c5,"If Yann LeCun and I are correct, AI will need genuinely new paradigms to get to the next level in AI, and OpenAI may be no closer to that than anyone else. § If GPT-5 did fail to please, or even if it were just deferred indefinitely (like so many promises that have been about driverless cars), it could have a rapid, deflationary effect on sky-high valuations."
theme3_4d4764672c3e,agi_timeline,agi,normative,2023-02-03,2025-11-21,19,19,2025-12-31;2027-12-31,yes,deadline_pushed_out,stable,3,yes,cluster2_0db3749461c6;cluster2_163730d5b373;cluster2_34f6d415ebe8;cluster2_4739eed82fa2;cluster2_4dbb9f3d81ca;cluster2_55fca8190abe;cluster2_703e2946c4e4;cluster2_77298d5b3f7c;cluster2_907c68d37d3f;cluster2_a420436653ef;cluster2_aea402b268b7;cluster2_bf22cc4b9ac3;cluster2_dcd6d67defb7;cluster2_deee550407e3;cluster2_e1bbc234ccdd;cluster2_ec7fa966de4e;cluster2_ee1653a75e3b;cluster2_f269fe7319c5;cluster2_fa857ee2ad66,"Turns out you don’t need to solve them to make beautiful pictures, or decent if error-filled conversation, but anyone who thinks we can get to AGI without solving abstraction, compositionality, and the type-token distinction is kidding themselves."
theme3_0572199dc099,reasoning_common_sense,general_ai,normative,2023-02-11,2026-02-14,8,10,2016-12-31;2022-12-31,yes,deadline_pushed_out,hardened,3,yes,cluster2_19e8b2680f29;cluster2_29a85a7a0dc7;cluster2_39a67cebaa8b;cluster2_58b81190bb46;cluster2_666fe4856715;cluster2_897356579f46;cluster2_d3981a54e2ae;cluster2_e8f5b74f7c7b,"Ernie Davis and I pushed this idea in Rebooting AI; Brachmann and Levesque do even better here in the beautiful pass in their new book Machines Like Us, outlining what a minimal kernel of commonsense for an AI might look like : Humans know these things; if AI’s are to understand language, they should refract language through this sort basic understanding of common sense, rather than needlessly starting as blank slates and acquiring statistics without concepts."
theme3_1229d1997f18,market_hype_bubble,llms,predictive,2023-09-27,2025-08-20,8,9,2019-12-31;2025-12-31,yes,deadline_pushed_out,stable,3,yes,cluster2_1323f7037f0d;cluster2_2cf7cf24caf4;cluster2_38cdda4c5a76;cluster2_503f6068e63d;cluster2_6febf436d423;cluster2_7a678d1ee722;cluster2_890c1bdf9999;cluster2_d12730d68eb5,"I have no doubt, of course, that some AI companies will eventually merit these stratospheric valuations, but I am not convinced that a pure LLM play ever will."
theme3_c5056806d534,agi_timeline,tesla,predictive,2023-02-13,2025-01-20,4,4,2022-12-31;2025-12-31;2029-12-31;this_decade,yes,deadline_pushed_out;more_specific_over_time,hardened,3,yes,cluster2_6977692b60f6;cluster2_94e93c1522c8;cluster2_9bdb791d848f;cluster2_a1e9ea1af4cc,"Elon Musk, for example, recently said that it was more likely than not that we would see AGI by 2029 ."
theme3_e8ec12058b83,agi_timeline,general_ai,predictive,2024-03-10,2025-11-21,6,7,2020-12-31;2027-12-31;within_10_years,yes,horizon_changed,softened,2,yes,cluster2_3b1b97b8ccf6;cluster2_4bbfb4ff7e9a;cluster2_589cc88115b3;cluster2_7b236f6e9099;cluster2_aeb9331d0864;cluster2_e15a013b83e9,"It has flitted from fad to fad decade by decade, always promising the moon, and only occasionally delivering” Still true. “In November 2020, Hinton told MIT Technology Review that “deep learning is going to be able to do everything.” I seriously doubt it."
theme3_7e94375ad3bc,regulation_policy,general_ai,predictive,2024-02-21,2025-04-17,3,3,2019-12-31,no,less_specific_over_time,softened,2,yes,cluster2_5e890507c7c2;cluster2_9f9bfd52a4fe;cluster2_d2a4ed03395c,"The capacity to endow machines with the commonsense understanding of history, culture, and human values that would be required to make sensible guardrails has not. § In closing, I will repeat, perhaps not for the first time here, something prescient that Ernest Davis and I wrote at the end of Rebooting AI , on 2019: Gary Marcus keeps hoping that he will live to see an AI that is deeper than mere stochastic mimicry plus Band-Aids."
theme3_0fb5a9767582,reasoning_common_sense,general_ai,predictive,2023-02-16,2025-07-15,13,14,2020-12-31;2024-12-31;2029-12-31;near_term,yes,horizon_changed,stable,1,no,cluster2_103af516986c;cluster2_1e55723bd863;cluster2_34ca700d9050;cluster2_6ed0f2af2b1c;cluster2_8068b9c730bb;cluster2_83340773ac40;cluster2_8c822a078c74;cluster2_983b856c7667;cluster2_a0cf35746917;cluster2_dcd36087260e;cluster2_dd6e2fbc424f;cluster2_f1d42f72cbb8;cluster2_f674d75649e7,"But I am cautiously optimistic that we’ll do better in the next 75, that once the hype cools off, people will finally dive deeper into neurosymbolic AI, and start to take some important steps."
