date,slug,title,url,category,claim_text,evidence_excerpt,file_path
2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,prescription,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).","AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,prescription,"And really, it should lead us back to where the founders of AI started.","And really, it should lead us back to where the founders of AI started.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,prescription,"For many decades, part of the premise behind AI was that artificial intelligence should take inspiration from natural intelligence .","For many decades, part of the premise behind AI was that artificial intelligence should take inspiration from natural intelligence .",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,prescription,"The bottom line is this, something that AI once cherished but has now forgotten: If we are to build AGI, we are going to need to learn something from humans, how they reason and understand the physical world, and how they represent and acquire language and complex concepts.","The bottom line is this, something that AI once cherished but has now forgotten: If we are to build AGI, we are going to need to learn something from humans, how they reason and understand the physical world, and how they represent and acquire language and complex concepts.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
2022-05-29,the-new-science-of-alt-intelligence,Marcus on AI,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,forecast,"The rest of de Freitas’ thread, follows suit: Nando de Freitas 🏳️‍🌈 @NandoDF Solving these scaling challenges is what will deliver AGI.","The rest of de Freitas’ thread, follows suit: Nando de Freitas 🏳️‍🌈 @NandoDF Solving these scaling challenges is what will deliver AGI.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2022-05-29_the-new-science-of-alt-intelligence.txt
2023-01-31,the-cnet-fake-news-fiasco-autopilot,Marcus on AI,https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot,prescription,Anyone who thinks about how AI is used should know about it—especially as we are about to head into an era of ubiquitous yet fallible AI.,Anyone who thinks about how AI is used should know about it—especially as we are about to head into an era of ubiquitous yet fallible AI.,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-01-31_the-cnet-fake-news-fiasco-autopilot.txt
2023-01-31,the-cnet-fake-news-fiasco-autopilot,Marcus on AI,https://garymarcus.substack.com/p/the-cnet-fake-news-fiasco-autopilot,prescription,"Three minutes into his talk, Urmson told a profound story that pretty much every congressperson and citizen should be pondering, deeply, right about now: So back in 2013, we had the first test of a self-driving car where we let regular people use it.","Three minutes into his talk, Urmson told a profound story that pretty much every congressperson and citizen should be pondering, deeply, right about now: So back in 2013, we had the first test of a self-driving car where we let regular people use it.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-01-31_the-cnet-fake-news-fiasco-autopilot.txt
2023-02-03,happy-groundhog-day-the-ai-edition,Marcus on AI,https://garymarcus.substack.com/p/happy-groundhog-day-the-ai-edition,prescription,"Turns out you don’t need to solve them to make beautiful pictures, or decent if error-filled conversation, but anyone who thinks we can get to AGI without solving abstraction, compositionality, and the type-token distinction is kidding themselves.","Turns out you don’t need to solve them to make beautiful pictures, or decent if error-filled conversation, but anyone who thinks we can get to AGI without solving abstraction, compositionality, and the type-token distinction is kidding themselves.",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-03_happy-groundhog-day-the-ai-edition.txt
2023-02-04,some-things-garymarcus-might-say,Marcus on AI,https://garymarcus.substack.com/p/some-things-garymarcus-might-say,other,Champandard ❄️ @alexjc@creative.ai @alexjc I think @GaryMarcus figured out the password to this account and is now trolling people...,Champandard ❄️ @alexjc@creative.ai @alexjc I think @GaryMarcus figured out the password to this account and is now trolling people...,/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-04_some-things-garymarcus-might-say.txt
2023-02-09,oops-how-google-bombed-while-doing,Marcus on AI,https://garymarcus.substack.com/p/oops-how-google-bombed-while-doing,prescription,"I am not saying with certainty that we are for witnessing the same movie all over again, but should anybody blithely accept the reassurances of some very interested parties when AI has such a long history of demos that never quite make it to solid product?","I am not saying with certainty that we are for witnessing the same movie all over again, but should anybody blithely accept the reassurances of some very interested parties when AI has such a long history of demos that never quite make it to solid product?",/Users/davidgoldblatt/Desktop/marcus_scrape/posts/2023-02-09_oops-how-google-bombed-while-doing.txt
