post_id,claim_date,slug,reviewer,reviewed_at_utc,review_status,claims_extracted_count,evidence
post_0001,2022-05-29,the-new-science-of-alt-intelligence,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,7,file_read_and_hashed
post_0002,2023-01-31,the-cnet-fake-news-fiasco-autopilot,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0003,2023-02-02,gaslighting-and-reality-in-ai,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0004,2023-02-03,happy-groundhog-day-the-ai-edition,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,1,file_read_and_hashed
post_0005,2023-02-04,some-things-garymarcus-might-say,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0006,2023-02-09,oops-how-google-bombed-while-doing,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
post_0007,2023-02-11,coming-soon,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0008,2023-02-11,does-ai-really-need-a-paradigm-shift,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0009,2023-02-11,horse-rides-astronaut,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0010,2023-02-11,noam-chomsky-and-gpt-3,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,6,file_read_and_hashed
post_0011,2023-02-11,nonsense-on-stilts,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,3,file_read_and_hashed
post_0012,2023-02-11,poetry-for-our-agi-times,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,0,file_read_and_hashed
post_0013,2023-02-11,three-ideas-from-linguistics-that,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,5,file_read_and_hashed
post_0014,2023-02-11,what-does-it-mean-when-an-ai-fails,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,6,file_read_and_hashed
post_0015,2023-02-11,will-tesla-ever-solve-full-self-driving,chatgpt_automation_scan_v1,2026-03-03T00:44:32+00:00,scanned_full_text,2,file_read_and_hashed
