theme3_id,theme_label,target_mode,claim_type_mode,chatgpt_status_at_eval,chatgpt_confidence,selected_claude_cluster_id,bridge_confidence,mapping_status,manual_review,claude_claims_in_window,claude_supported_pct,claude_contradicted_pct,claude_mixed_pct,claude_pending_pct,claude_untestable_pct,claude_primary_status,hybrid_status,agreement_band,goalpost_shift_flag,goalpost_shift_score,first_date,last_date,claim_occurrences
theme3_6243728cd866,openai_governance,openai,descriptive,contradicted,high,openai_wont_stay_dominant,high,mapped,no,70,41.4,11.4,35.7,8.6,2.9,supported,contradicted,low,no,0,2023-09-21,2026-01-13,12
theme3_7d22014cb9c1,openai_governance,openai,predictive,contradicted,medium,openai_wont_stay_dominant,high,mapped,no,83,39.8,13.3,32.5,12.0,2.4,supported,contradicted,low,yes,3,2023-10-17,2026-02-27,21
theme3_1229d1997f18,market_hype_bubble,llms,predictive,unresolved,medium,genai_bubble_will_burst,high,mapped,no,39,10.3,43.6,28.2,7.7,10.3,contradicted,lean_contradicted,medium,yes,3,2023-09-27,2025-08-20,9
theme3_2f0d82369632,market_hype_bubble,general_ai,descriptive,unresolved,medium,genai_bubble_will_burst,high,mapped,no,52,11.5,32.7,26.9,17.3,11.5,contradicted,lean_contradicted,medium,no,0,2023-02-13,2025-12-17,3
theme3_afea30eb45be,market_hype_bubble,general_ai,causal,unresolved,medium,genai_bubble_will_burst,high,mapped,no,13,0.0,53.8,15.4,23.1,7.7,contradicted,lean_contradicted,medium,no,1,2023-02-13,2024-07-28,2
theme3_da5470fb91d7,market_hype_bubble,general_ai,predictive,unresolved,medium,genai_bubble_will_burst,high,mapped,no,58,10.3,29.3,27.6,22.4,10.3,contradicted,lean_contradicted,medium,no,1,2023-10-27,2026-01-06,7
theme3_0d3613992fa7,reasoning_common_sense,llms,causal,unresolved,medium,llms_no_real_understanding,high,mapped,no,15,26.7,20.0,33.3,6.7,13.3,mixed,lean_contradicted,medium,no,0,2023-03-25,2025-03-28,3
theme3_28501faa0718,reasoning_common_sense,openai,predictive,unresolved,medium,llms_no_real_understanding,high,mapped,no,19,21.1,15.8,47.4,5.3,10.5,mixed,lean_contradicted,medium,no,1,2023-02-11,2025-01-26,3
theme3_64bd8b6d3a0f,agents_reliability,general_ai,predictive,unresolved,medium,llm_agents_premature,high,mapped,no,24,62.5,0.0,8.3,20.8,8.3,supported,lean_supported,medium,no,1,2023-10-27,2025-08-03,7
theme3_7645c65073c8,agents_reliability,general_ai,causal,unresolved,medium,llm_agents_premature,high,mapped,no,11,72.7,0.0,9.1,18.2,0.0,supported,lean_supported,medium,no,0,2025-05-22,2025-08-03,2
theme3_833be3ff31bb,agents_reliability,llms,predictive,unresolved,medium,llm_agents_premature,high,mapped,no,23,65.2,0.0,4.3,21.7,8.7,supported,lean_supported,medium,no,0,2024-02-10,2025-08-03,2
theme3_a4a7b7572183,agents_reliability,general_ai,descriptive,unresolved,medium,llm_agents_premature,high,mapped,no,2,100.0,0.0,0.0,0.0,0.0,supported,lean_supported,medium,no,0,2025-04-16,2025-05-22,2
theme3_b889360f49df,agi_timeline,anthropic,predictive,unresolved,medium,agi_not_imminent,high,mapped,no,2,100.0,0.0,0.0,0.0,0.0,supported,lean_supported,medium,no,0,2023-08-13,2023-08-13,1
theme3_c5056806d534,agi_timeline,tesla,predictive,unresolved,high,agi_not_imminent,high,mapped,no,22,54.5,0.0,18.2,22.7,4.5,supported,lean_supported,medium,yes,3,2023-02-13,2025-01-20,4
theme3_03bbb277b41d,copyright_ip,general_ai,predictive,unresolved,medium,ai_copyright_infringement,high,mapped,no,68,63.2,2.9,14.7,1.5,17.6,supported,lean_supported,medium,yes,4,2023-02-14,2026-02-10,8
theme3_0645fb99675a,copyright_ip,general_ai,descriptive,unresolved,medium,ai_copyright_infringement,high,mapped,no,69,63.8,2.9,14.5,1.4,17.4,supported,lean_supported,medium,no,0,2022-05-29,2025-07-15,10
theme3_16706773bfe0,copyright_ip,microsoft,descriptive,unresolved,medium,ai_copyright_infringement,high,mapped,no,72,62.5,2.8,16.7,1.4,16.7,supported,lean_supported,medium,no,0,2023-02-26,2023-02-26,1
theme3_5f90b0708be7,copyright_ip,llms,descriptive,unresolved,medium,ai_copyright_infringement,high,mapped,no,70,64.3,2.9,14.3,1.4,17.1,supported,lean_supported,medium,no,0,2023-02-11,2026-01-12,8
theme3_8ac582808fb4,copyright_ip,general_ai,causal,unresolved,medium,ai_copyright_infringement,high,mapped,no,72,62.5,2.8,16.7,1.4,16.7,supported,lean_supported,medium,no,0,2024-10-05,2024-10-05,1
theme3_9afbf59166e9,copyright_ip,llms,predictive,unresolved,medium,ai_copyright_infringement,high,mapped,no,66,63.6,3.0,13.6,1.5,18.2,supported,lean_supported,medium,no,1,2023-02-15,2025-07-27,11
theme3_b9f19c78c06d,copyright_ip,llms,causal,unresolved,medium,ai_copyright_infringement,high,mapped,no,72,62.5,2.8,16.7,1.4,16.7,supported,lean_supported,medium,no,0,2026-02-10,2026-02-10,1
theme3_be469008f20d,copyright_ip,meta,descriptive,unresolved,medium,ai_copyright_infringement,high,mapped,no,72,62.5,2.8,16.7,1.4,16.7,supported,lean_supported,medium,no,0,2026-01-06,2026-01-06,1
theme3_17682cba7368,market_hype_bubble,microsoft,predictive,unresolved,medium,genai_bubble_will_burst,high,mapped,no,2,50.0,0.0,0.0,50.0,0.0,supported,lean_supported,medium,no,0,2025-03-27,2025-03-27,1
theme3_b06f891704cc,openai_governance,openai,causal,unresolved,medium,openai_wont_stay_dominant,high,mapped,no,2,50.0,0.0,0.0,0.0,50.0,supported,lean_supported,medium,no,0,2023-02-11,2023-04-28,2
theme3_7536106433d4,reasoning_common_sense,ai_safety,descriptive,unresolved,medium,llms_no_real_understanding,high,mapped,no,6,50.0,0.0,33.3,0.0,16.7,supported,lean_supported,medium,no,0,2024-06-07,2025-02-26,3
theme3_1d051096961b,scaling_limits,openai,predictive,unresolved,medium,scaling_wont_reach_agi,high,mapped,yes,2,50.0,0.0,50.0,0.0,0.0,mixed,lean_supported,medium,no,0,2024-11-09,2024-11-09,1
theme3_a4bd807a6b2f,scaling_limits,llms,descriptive,unresolved,medium,scaling_wont_reach_agi,high,mapped,yes,36,50.0,2.8,22.2,8.3,16.7,supported,lean_supported,medium,no,0,2025-02-13,2026-01-06,2
theme3_b0a943ac0bbb,scaling_limits,agi,causal,unresolved,medium,scaling_wont_reach_agi,high,mapped,yes,13,61.5,0.0,30.8,0.0,7.7,supported,lean_supported,medium,no,0,2024-12-08,2025-03-14,2
theme3_fc9bd1ed6aeb,scaling_limits,google,predictive,unresolved,medium,scaling_wont_reach_agi,high,mapped,yes,2,50.0,0.0,50.0,0.0,0.0,mixed,lean_supported,medium,no,0,2025-02-13,2025-02-13,1
theme3_0b7a44e78690,self_driving_robotics,tesla,descriptive,unresolved,medium,musk_ai_hypocrisy,medium,mapped,no,55,65.5,3.6,14.5,5.5,10.9,supported,lean_supported,medium,no,0,2024-06-01,2024-06-01,1
theme3_4fd1eed54bd2,self_driving_robotics,general_ai,predictive,unresolved,medium,musk_ai_hypocrisy,medium,mapped,no,55,65.5,3.6,14.5,5.5,10.9,supported,lean_supported,medium,no,0,2023-10-27,2023-10-27,1
theme3_54e37b5b2981,self_driving_robotics,llms,descriptive,unresolved,medium,musk_ai_hypocrisy,low,mapped_medium_weak_target,yes,55,65.5,3.6,14.5,5.5,10.9,supported,lean_supported,medium,no,0,2025-07-13,2025-07-13,1
