cluster_id,canonical_norm,representative_claim,category_mode,claim_type_mode,falsifiability_tier_mode,target_mode,first_date,last_date,occurrences,source_posts,source_urls,supporting_claim_ids
cluster_c596a7ac8581,within a decade maybe much less the focus of ai will move from a pure focus on scaling large language models to a focus on integrating them with a wide range of other techniques,"Within a decade, maybe much less, the focus of AI will move from a pure focus on scaling large language models to a focus on integrating them with a wide range of other techniques.",prediction,predictive,tier_2,llms,2023-02-15,2025-07-27,2,what-to-expect-when-youre-expecting;what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,claim_00109;claim_00944
cluster_5aab438a3b2f,when agi artificial intelligence comes large language models like gpt 4 may be seen in hindsight as part of the eventual solution but only as part of the solution scaling alone building bigger and models until they absorb the entire internet will prove useful but only to a point,"When AGI (artificial intelligence) comes, large language models like GPT-4 may be seen in hindsight as part of the eventual solution, but only as part of the solution . “Scaling” alone—building bigger and models until they absorb the entire internet — will prove useful, but only to a point.",prediction,predictive,tier_2,agi,2023-02-15,2025-12-01,2,three-years-on-chatgpt-still-isnt;what-to-expect-when-youre-expecting,https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting,claim_00107;claim_01038
cluster_93d7573e5c13,we need to stop worrying just about skynet and robots taking over the world and think a lot more about what criminals including terrorists might do with llms and what if anything we might do to stop them,"We need to stop worrying (just) about Skynet and robots taking over the world, and think a lot more about what criminals, including terrorists, might do with LLMs, and what, if anything, we might do to stop them.",policy,normative,tier_3,llms,2023-10-26,2024-02-12,2,a-cern-for-ai-and-the-global-governance;ai-risk-agi-risk,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/ai-risk-agi-risk,claim_00323;claim_00406
cluster_6b5599877998,the bottom line is this something that ai once cherished but has now forgotten if we are to build agi we are going to need to learn something from humans how they reason and understand the physical world and how they represent and acquire language and complex concepts,"The bottom line is this, something that AI once cherished but has now forgotten: If we are to build AGI, we are going to need to learn something from humans, how they reason and understand the physical world, and how they represent and acquire language and complex concepts.",policy,normative,tier_3,agi,2022-05-29,2025-12-17,2,breaking-news-scale-is-all-you-need;the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,claim_00007;claim_01065
cluster_c1cd2836c848,reliable trustworthy ai is surely achievable but we may need to go back to the drawing board to get there,"Reliable, trustworthy AI is surely achievable, but we may need to go back to the drawing board to get there.",policy,normative,tier_3,general_ai,2024-04-13,2024-11-09,2,confirmed-llms-have-indeed-reached;evidence-that-llms-are-reaching-a,https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a,claim_00462;claim_00619
cluster_90da952dc2b5,none of the software in either of those systems has survived in modern efforts at artificial general intelligence and i am not sure that lamda and its cousins will play any important role in the future of ai either,"None of the software in either of those systems has survived in modern efforts at “artificial general intelligence”, and I am not sure that LaMDA and its cousins will play any important role in the future of AI, either.",prediction,predictive,tier_2,agi,2023-02-11,2025-04-25,2,new-adventures-in-ai-hype-our-language;nonsense-on-stilts,https://garymarcus.substack.com/p/new-adventures-in-ai-hype-our-language;https://garymarcus.substack.com/p/nonsense-on-stilts,claim_00028;claim_00813
cluster_4cb98bed9176,llms are not agi and on their own never will be scaling alone was never going to be enough,"LLMs are not AGI, and (on their own) never will be; scaling alone was never going to be enough.",prediction,predictive,tier_2,agi,2024-06-22,2024-08-05,2,august-5-2024-a-big-day-in-tech;the-great-ai-retrenchment-has-begun,https://garymarcus.substack.com/p/august-5-2024-a-big-day-in-tech;https://garymarcus.substack.com/p/the-great-ai-retrenchment-has-begun,claim_00519;claim_00553
cluster_9360efdba5d4,it will remain turbocharged pastiche generator and a fine tool for brainstorming and for first drafts but not trustworthy general intelligence alignment between what humans want and what machines do will continue to be a critical unsolved problem,"It will remain turbocharged pastiche generator, and a fine tool for brainstorming, and for first drafts, but not trustworthy general intelligence. “Alignment” between what humans want and what machines do will continue to be a critical, unsolved problem .",prediction,predictive,tier_3,ai_safety,2023-02-15,2025-07-27,2,what-to-expect-when-youre-expecting;what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,claim_00106;claim_00941
cluster_eca31070aec7,i don t know when we will get to such machines but i do know that we don t have tons of controls over current ai especially now that people can hook them up to taskrabbit and real world software apis,"I don’t know when we will get to such machines, but I do know that we don’t have tons of controls over current AI, especially now that people can hook them up to TaskRabbit and real-world software APIs.",prediction,predictive,tier_3,general_ai,2023-10-26,2024-02-12,2,a-cern-for-ai-and-the-global-governance;ai-risk-agi-risk,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/ai-risk-agi-risk,claim_00322;claim_00405
cluster_2c4433e77aa0,guardrails a la chatgpt may be in place but the guardrails will teeter between being too weak beaten by jailbreaks and too strong rejecting some perfectly reasonable requests,"Guardrails (a la ChatGPT) may be in place, but the guardrails will teeter between being too weak (beaten by “jailbreaks”) and too strong (rejecting some perfectly reasonable requests).",prediction,predictive,tier_3,llms,2023-02-15,2025-07-27,2,what-to-expect-when-youre-expecting;what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,claim_00103;claim_00939
cluster_bad5e88b0891,fluent hallucinations will still be common and easily induced continuing and in in fact escalating the risk of large language models being used as a tool for creating plausible sounding yet false misinformation,"Fluent hallucinations will still be common , and easily induced, continuing—and in in fact escalating— the risk of large language models being used as a tool for creating plausible-sounding yet false misinformation.",prediction,predictive,tier_2,llms,2023-02-15,2025-07-27,2,what-to-expect-when-youre-expecting;what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,claim_00102;claim_00938
cluster_b88422ea1b9a,but that place may be smaller it is entirely possible that llms on their own will never live up to last year s wild expectations,But that place may be smaller; it is entirely possible that LLMs on their own will never live up to last year’s wild expectations.,prediction,predictive,tier_2,llms,2024-04-13,2024-11-09,2,confirmed-llms-have-indeed-reached;evidence-that-llms-are-reaching-a,https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a,claim_00461;claim_00618
cluster_6bc754e62e04,and really it should lead us back to where the founders of ai started,"And really, it should lead us back to where the founders of AI started.",policy,normative,tier_3,general_ai,2022-05-29,2025-12-17,2,breaking-news-scale-is-all-you-need;the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,claim_00005;claim_01063
cluster_3bc6b5a6c7b8,ai should certainly not be a slavish replica of human intelligence which after all is flawed in its own ways saddled with lousy memory and cognitive bias,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).",policy,normative,tier_3,regulation,2022-05-29,2025-12-17,2,breaking-news-scale-is-all-you-need;the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,claim_00006;claim_01064
cluster_34c103ad8878,you should be watching to see what the candidates plan to do about fraud and disinformation as ai contributes to escalation in both,"You should be watching to see what the candidates plan to do about fraud and disinformation, as AI contributes to escalation in both.",policy,normative,tier_3,general_ai,2024-09-10,2024-09-10,1,what-will-the-candidates-say-about,https://garymarcus.substack.com/p/what-will-the-candidates-say-about,claim_00575
cluster_e7d7a8ed1fd3,you re here in brooklyn 2 at the opposite extreme yudkowsky claims that agi will kill us all by default because superintelligence will by default dominate us and harvest our atoms this too seems like a rather large assumption that is far from proven a possibility but not demonstrably a default,"You're here, in Brooklyn. 2 At the opposite extreme, Yudkowsky claims that AGI will kill us all by default, because superintelligence will by default dominate us and harvest our atoms; this too seems like a rather large assumption that is far from proven, a possibility but not demonstrably a default,",prediction,causal,tier_2,agi,2023-08-27,2023-08-27,1,d28,https://garymarcus.substack.com/p/d28,claim_00258
cluster_e4a10f39afe7,you have written some pretty similar things of late like this in 2022 llms have no stable body or abiding world to be sentient of so their knowledge begins and ends with more words and their common sense is always skin deep,"You have written some pretty similar things of late, like this in 2022 “LLMs have no stable body or abiding world to be sentient of —so their knowledge begins and ends with more words and their common-sense is always skin-deep.",prediction,predictive,tier_1,llms,2024-06-04,2024-06-04,1,open-letter-responding-to-yann-lecun,https://garymarcus.substack.com/p/open-letter-responding-to-yann-lecun,claim_00502
cluster_d850a046476e,you don t need to have a world model here a representation of the board at all to parrot these moves,You don’t need to have a world model (here a representation of the board) at all to parrot these moves.,policy,normative,tier_3,general_ai,2025-11-18,2025-11-18,1,generative-ais-crippling-and-widespread,https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread,claim_01001
cluster_5640c9171754,you could as they have make an argument that the actual harm from ai so far has been modest a comparatively small number of people have died for example,"You could (as they have) make an argument that the actual harm from AI so far has been modest (a comparatively small number of people have died, for example).",technical_assessment,descriptive,tier_3,ai_safety,2023-10-26,2023-10-26,1,a-cern-for-ai-and-the-global-governance,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance,claim_00326
cluster_c4fe13f7ae8c,you can read it on the spacex website which tells us that the merged everything company will be the most ambitious vertically integrated innovation engine on and off earth with ai rockets space based internet direct to mobile device communications and the world s foremost real time information and free speech platform,"You can read it on the SpaceX website, which tells us that the merged everything company will be “the most ambitious, vertically-integrated innovation engine on (and off) Earth, with AI, rockets, space-based internet, direct-to-mobile device communications and the world’s foremost real-time information and free speech platform”.",prediction,predictive,tier_2,general_ai,2026-02-03,2026-02-03,1,four-theories-about-the-spacex-xai,https://garymarcus.substack.com/p/four-theories-about-the-spacex-xai,claim_01117
cluster_4b936e767f5e,you can also broaden the term empiricism to include every possible process and narrow the term nativism to only include literal neural blueprints for entire brains,"You can also broaden the term empiricism to include every possible process, and narrow the term nativism to only include literal neural blueprints for entire brains.",technical_assessment,descriptive,tier_3,general_ai,2023-02-13,2023-02-13,1,5-myths-about-learning-and-innateness,https://garymarcus.substack.com/p/5-myths-about-learning-and-innateness,claim_00046
cluster_75e48c5cb965,yet nearly all funding has been aimed simply at making them larger despite the often open hostility of hinton and many of his followers i have always stuck to my guns never arguing that we should dispense with deep learning a commonly repeated strawman but always calling instead for a hybrid of deep learning and symbols,"Yet nearly all funding has been aimed simply at making them larger. § Despite the often open hostility of Hinton and many of his followers, I have always stuck to my guns, never arguing that we should dispense with deep learning (a commonly-repeated strawman) but always calling, instead, for a hybrid of deep learning and symbols.",policy,normative,tier_3,general_ai,2025-07-13,2025-07-13,1,how-o3-and-grok-4-accidentally-vindicated,https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated,claim_00903
cluster_dda06ca4221f,yet alexa obviously isn t conversing in the way that gpt 3 is,Yet Alexa obviously isn't conversing in the way that GPT-3 is.,technical_assessment,descriptive,tier_2,llms,2023-02-14,2023-02-14,1,how-come-smart-assistants-have-virtually,https://garymarcus.substack.com/p/how-come-smart-assistants-have-virtually,claim_00075
cluster_c88233a22f85,yesterday university of edinburgh ai scholar michael rovatsos wrote that it is possible that the release of gpt 5 marks a shift in the evolution of ai which might usher in the end of creating ever more complicated models whose thought processes are impossible for anyone to understand and my own essay on all this gpt 5 overdue overhyped and underwhelming went viral with over 163 000 views,"Yesterday, University of Edinburgh AI scholar Michael Rovatsos wrote that ""it is possible that the release of GPT-5 marks a shift in the evolution of AI which... might usher in the end of creating ever more complicated models whose thought processes are impossible for anyone to understand."" And my own essay on all this, GPT-5: Overdue, overhyped and underwhelming , went viral, with over 163,000 views.",technical_assessment,descriptive,tier_2,llms,2025-08-14,2025-08-14,1,openais-waterloo,https://garymarcus.substack.com/p/openais-waterloo,claim_00973
cluster_86bf70aa2de6,yes they can generate cool haikus and well written prose but they also constantly spew misinformation even about themselves and cannot be trusted when it comes to answering questions about real world events and phenomena let alone to provide sound advice about mental health or marriage counseling,"Yes, they can generate cool haikus and well-written prose, but they also constantly spew misinformation (even about themselves ), and cannot be trusted when it comes to answering questions about real-world events and phenomena, let alone to provide sound advice about mental health or marriage counseling.",capability,descriptive,tier_2,ai_safety,2023-04-17,2023-04-17,1,stop-treating-ai-models-like-people,https://garymarcus.substack.com/p/stop-treating-ai-models-like-people,claim_00204
cluster_4234b67d92cd,yes some people will be employed building data centers but if the data centers work towards better ai many others will lose their jobs,"Yes, some people will be employed building data centers; but if the data centers work towards better AI, many others will lose their jobs.",capability,predictive,tier_2,general_ai,2025-01-22,2025-01-22,1,hot-take-on-an-ai-catfight,https://garymarcus.substack.com/p/hot-take-on-an-ai-catfight,claim_00713
cluster_711a81da6cab,yann lecun wrote a long screed along these lines which steve pinker later endorsed saying we don t need to worry about ai achieving dominance,"Yann LeCun wrote a long screed along these lines (which Steve Pinker later endorsed), saying we don’t need to worry about AI achieving dominance.",policy,normative,tier_3,general_ai,2023-08-27,2023-08-27,1,d28,https://garymarcus.substack.com/p/d28,claim_00248
