theme3_id,theme_label,target_mode,claim_type_mode,category_mode,falsifiability_tier_mode,first_date,last_date,claim_occurrences,c2_clusters_merged,horizon_values,goalpost_shift_candidate_theme,goalpost_shift_flag,goalpost_shift_score,horizon_shift_type,certainty_shift,status_at_eval,confidence,as_of_date,reason,sources,representative_quote,cluster2_ids,source_urls
theme3_3c553598e33f,agi_timeline,agi,predictive,prediction,tier_2,2023-02-11,2025-12-01,41,40,2023-12-31;2025-12-31;2027-12-31;2029-12-31;near_term;this_decade,yes,yes,4,deadline_pushed_out;less_specific_over_time,hardened,unresolved,high,2026-03-02,Timeline horizon extends beyond evaluation date.,https://openai.com/index/introducing-gpt-5/,"None of the software in either of those systems has survived in modern efforts at “artificial general intelligence”, and I am not sure that LaMDA and its cousins will play any important role in the future of AI, either.",cluster2_00996b6a7f3e;cluster2_0c5017c359d6;cluster2_14691968a363;cluster2_14fdbc2d479a;cluster2_166f12ae45af;cluster2_1ab79ae4134e;cluster2_1bac5a0f886e;cluster2_40b7af64913c;cluster2_4617a30f82e1;cluster2_4d4972f710bb;cluster2_50ff030b0f90;cluster2_57f823c45a22;cluster2_6312fecddd30;cluster2_723391a7e57c;cluster2_758eb339f5b6;cluster2_8151691ce14d;cluster2_844e3ccd35b4;cluster2_84f4053d868b;cluster2_88a974fdd058;cluster2_898d77ac5aa2;cluster2_8b0d3b10ad62;cluster2_8f6a825f544c;cluster2_937a7a9ae2d6;cluster2_9aa09566059a;cluster2_9b022ceb42cf;cluster2_9b93f713b7c3;cluster2_a841bb4a554e;cluster2_b7f9f8cd3cb0;cluster2_ba4ac691cf68;cluster2_bf314b2e61c9;cluster2_bf8b39744567;cluster2_c6db08aebbaa;cluster2_cfe516d528f9;cluster2_db35293f27db;cluster2_dbd684e667a7;cluster2_e9e732acc36d;cluster2_e9fc9ecdcdf0;cluster2_f6ecd58b417b;cluster2_fc3d5f639ef5;cluster2_fccb2fae5093,https://garymarcus.substack.com/p/a-trillion-dollars-is-a-terrible;https://garymarcus.substack.com/p/agi-isnt-coming-in-2025-and-gpt-5;https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime;https://garymarcus.substack.com/p/breaking-openais-efforts-at-pure;https://garymarcus.substack.com/p/clarification-from-ray-kurzweil;https://garymarcus.substack.com/p/ezra-kleins-new-take-on-agi-and-why;https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread;https://garymarcus.substack.com/p/gpt-5-and-irrational-exuberance;https://garymarcus.substack.com/p/gpt-5-overdue-overhyped-and-underwhelming;https://garymarcus.substack.com/p/hard-forked-casey-newtons-distorted;https://garymarcus.substack.com/p/how-china-might-crush-the-west-in;https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated;https://garymarcus.substack.com/p/new-adventures-in-ai-hype-our-language;https://garymarcus.substack.com/p/nonsense-on-stilts;https://garymarcus.substack.com/p/o3-agi-the-art-of-the-demo-and-what;https://garymarcus.substack.com/p/openais-waterloo;https://garymarcus.substack.com/p/rethinking-driverless-cars;https://garymarcus.substack.com/p/scoop-what-former-employees-of-openai;https://garymarcus.substack.com/p/scott-alexanders-misleading-victory;https://garymarcus.substack.com/p/seven-replies-to-the-viral-apple;https://garymarcus.substack.com/p/superhuman-agi-is-not-nigh;https://garymarcus.substack.com/p/the-ai-2027-scenario-how-realistic;https://garymarcus.substack.com/p/the-race-for-ai-supremacy-is-over;https://garymarcus.substack.com/p/the-second-worst-100b-investment;https://garymarcus.substack.com/p/this-one-important-fact-about-current;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/top-5-reasons-openai-is-probably;https://garymarcus.substack.com/p/what-if-generative-ai-turned-out
theme3_a708e869f9a5,hallucination_misinformation,llms,predictive,prediction,tier_1,2023-02-15,2025-12-30,9,7,2014-12-31;2023-12-31,yes,yes,4,deadline_pushed_out;less_specific_over_time,stable,supported,high,2026-03-02,"Cross-vendor documentation (OpenAI, Google Gemini, Anthropic) indicates hallucinations/errors still occur, though mitigations have improved.",https://openai.com/blog/why-language-models-hallucinate/;https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://support.google.com/gemini/answer/13594961;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf;https://support.anthropic.com/en/articles/8525154-claude-is-providing-incorrect-or-misleading-responses-what-s-going-on,"Fluent hallucinations will still be common , and easily induced, continuing—and in in fact escalating— the risk of large language models being used as a tool for creating plausible-sounding yet false misinformation.",cluster2_629e75178dcd;cluster2_6b29ab6a716d;cluster2_7225e5cc81f2;cluster2_cc4a8b67b4f1;cluster2_f1c6dadd2d05;cluster2_f43c861495d1;cluster2_f75360944781,https://garymarcus.substack.com/p/ai-cartoon-of-the-year-and-five-rereadings;https://garymarcus.substack.com/p/bad-actors-are-grooming-llms-to-produce;https://garymarcus.substack.com/p/no-virginia-agi-is-not-imminent;https://garymarcus.substack.com/p/the-ai-2027-scenario-how-realistic;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e;https://garymarcus.substack.com/p/why-do-large-language-models-hallucinate
theme3_03bbb277b41d,copyright_ip,general_ai,predictive,prediction,tier_1,2023-02-14,2026-02-10,8,8,2001-12-31;2024-12-31;2026-12-31,yes,yes,4,deadline_pushed_out;less_specific_over_time,hardened,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,"What aspects of Cicero’s execution architecture, training architecture, or general methodological approach will be useful if we want to build an AI that is useful for some complex interaction with people outside the closed and limited world of Diplomacy?",cluster2_0e574251b500;cluster2_17c7e772b7fb;cluster2_2f4ad17f0289;cluster2_929eb1cd2f1e;cluster2_d36f004b16c8;cluster2_f11e503ec1e8;cluster2_f1af3589377c;cluster2_fe3ae5216bca,https://garymarcus.substack.com/p/ai-layoffs-productivity-and-the-klarna;https://garymarcus.substack.com/p/could-china-devastate-the-us-without;https://garymarcus.substack.com/p/my-conversation-with-chinas-victor;https://garymarcus.substack.com/p/no-rag-is-probably-not-going-to-rescue;https://garymarcus.substack.com/p/satya-nadella-and-the-three-stages;https://garymarcus.substack.com/p/some-disconcerting-facts-about-ai;https://garymarcus.substack.com/p/two-takes-on-ai-and-the-future-of;https://garymarcus.substack.com/p/what-does-meta-ais-diplomacy-winning
theme3_7d22014cb9c1,openai_governance,openai,predictive,prediction,tier_2,2023-10-17,2026-02-27,21,21,2023-12-31;near_term,yes,yes,3,deadline_pushed_out,hardened,contradicted,medium,2026-03-02,GPT-5 launched publicly; specific deferment/failure framing is contradicted by release evidence.,https://openai.com/index/introducing-gpt-5/;https://openai.com/our-structure/,"If Yann LeCun and I are correct, AI will need genuinely new paradigms to get to the next level in AI, and OpenAI may be no closer to that than anyone else. § If GPT-5 did fail to please, or even if it were just deferred indefinitely (like so many promises that have been about driverless cars), it could have a rapid, deflationary effect on sky-high valuations.",cluster2_0a0af98cec93;cluster2_2578113b4e2e;cluster2_3a30a47e741b;cluster2_3af7213a335f;cluster2_4ccb1c9af8b9;cluster2_4d1408b05644;cluster2_4e56549220ea;cluster2_51054f5db7aa;cluster2_54d1904d91ce;cluster2_66b70047be4d;cluster2_78181e1324f1;cluster2_845ab3a24e71;cluster2_962e55305f45;cluster2_a6e467bb6987;cluster2_b0152b5d1e71;cluster2_cc88222ba771;cluster2_d0519865ab11;cluster2_e7f408dc6074;cluster2_e9ebc7772031;cluster2_ea98392d5e11;cluster2_ed076d0718c5,https://garymarcus.substack.com/p/an-epidemic-of-weirdly-precise-ai;https://garymarcus.substack.com/p/breaking-openai-is-probably-toast;https://garymarcus.substack.com/p/breaking-openais-efforts-at-pure;https://garymarcus.substack.com/p/deepmind-and-openai-achieve-imo-gold;https://garymarcus.substack.com/p/does-openais-new-financing-make-sense;https://garymarcus.substack.com/p/eric-schmidts-risky-bet-on-ai-and;https://garymarcus.substack.com/p/gary-marcus-vs-sam-altman-on-gpt;https://garymarcus.substack.com/p/gpt-5-overdue-overhyped-and-underwhelming;https://garymarcus.substack.com/p/has-sam-altman-gone-full-gary-marcus;https://garymarcus.substack.com/p/hot-take-on-an-ai-catfight;https://garymarcus.substack.com/p/is-the-great-ai-meltdown-imminent;https://garymarcus.substack.com/p/openais-got-99-problems-and-twitch;https://garymarcus.substack.com/p/seven-reasons-why-the-world-should;https://garymarcus.substack.com/p/super-bowl-matchup-anthropic-vs-openai;https://garymarcus.substack.com/p/the-openai-plot-thickens;https://garymarcus.substack.com/p/the-race-for-ai-supremacy-is-over;https://garymarcus.substack.com/p/the-sam-altman-playbook;https://garymarcus.substack.com/p/what-if-gpt-5-didnt-meet-expectations;https://garymarcus.substack.com/p/when-looked-at-carefully-openais;https://garymarcus.substack.com/p/when-will-the-genai-bubble-burst
theme3_4d4764672c3e,agi_timeline,agi,normative,policy,tier_3,2023-02-03,2025-11-21,19,19,2025-12-31;2027-12-31,yes,yes,3,deadline_pushed_out,stable,untestable,high,2026-03-02,Normative/prescriptive theme without a clear falsification condition.,https://openai.com/index/introducing-gpt-5/,"Turns out you don’t need to solve them to make beautiful pictures, or decent if error-filled conversation, but anyone who thinks we can get to AGI without solving abstraction, compositionality, and the type-token distinction is kidding themselves.",cluster2_0db3749461c6;cluster2_163730d5b373;cluster2_34f6d415ebe8;cluster2_4739eed82fa2;cluster2_4dbb9f3d81ca;cluster2_55fca8190abe;cluster2_703e2946c4e4;cluster2_77298d5b3f7c;cluster2_907c68d37d3f;cluster2_a420436653ef;cluster2_aea402b268b7;cluster2_bf22cc4b9ac3;cluster2_dcd6d67defb7;cluster2_deee550407e3;cluster2_e1bbc234ccdd;cluster2_ec7fa966de4e;cluster2_ee1653a75e3b;cluster2_f269fe7319c5;cluster2_fa857ee2ad66,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/a-knockout-blow-for-llms;https://garymarcus.substack.com/p/agi-versus-broad-shallow-intelligence;https://garymarcus.substack.com/p/breaking-the-ai-2027-doomsday-scenario;https://garymarcus.substack.com/p/c39;https://garymarcus.substack.com/p/dear-elon-musk-here-are-five-things;https://garymarcus.substack.com/p/elegant-and-powerful-new-result-that;https://garymarcus.substack.com/p/end-of-an-era-openais-agi-readiness;https://garymarcus.substack.com/p/ezra-kleins-new-take-on-agi-and-why;https://garymarcus.substack.com/p/five-quick-updates-about-that-apple;https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread;https://garymarcus.substack.com/p/happy-groundhog-day-the-ai-edition;https://garymarcus.substack.com/p/hard-forked-casey-newtons-distorted;https://garymarcus.substack.com/p/horse-rides-astronaut;https://garymarcus.substack.com/p/hype-anthropics-dario-amodei-the;https://garymarcus.substack.com/p/peak-bubble;https://garymarcus.substack.com/p/seven-replies-to-the-viral-apple
theme3_0572199dc099,reasoning_common_sense,general_ai,normative,policy,tier_3,2023-02-11,2026-02-14,10,8,2016-12-31;2022-12-31,yes,yes,3,deadline_pushed_out,hardened,untestable,high,2026-03-02,Normative/prescriptive theme without a clear falsification condition.,https://openai.com/index/introducing-gpt-5/,"Ernie Davis and I pushed this idea in Rebooting AI; Brachmann and Levesque do even better here in the beautiful pass in their new book Machines Like Us, outlining what a minimal kernel of commonsense for an AI might look like : Humans know these things; if AI’s are to understand language, they should refract language through this sort basic understanding of common sense, rather than needlessly starting as blank slates and acquiring statistics without concepts.",cluster2_19e8b2680f29;cluster2_29a85a7a0dc7;cluster2_39a67cebaa8b;cluster2_58b81190bb46;cluster2_666fe4856715;cluster2_897356579f46;cluster2_d3981a54e2ae;cluster2_e8f5b74f7c7b,https://garymarcus.substack.com/p/decoding-and-debunking-hard-forks;https://garymarcus.substack.com/p/five-ways-in-which-the-last-3-months;https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated;https://garymarcus.substack.com/p/noam-chomsky-and-gpt-3;https://garymarcus.substack.com/p/nobel-prizes-and-the-ai-hype-hall;https://garymarcus.substack.com/p/race-statistics-and-the-persistent;https://garymarcus.substack.com/p/the-desperate-race-to-save-generative;https://garymarcus.substack.com/p/we-urgently-need-a-federal-law-forbidding;https://garymarcus.substack.com/p/what-was-60-minutes-thinking-in-that
theme3_1229d1997f18,market_hype_bubble,llms,predictive,prediction,tier_2,2023-09-27,2025-08-20,9,8,2019-12-31;2025-12-31,yes,yes,3,deadline_pushed_out,stable,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/,"I have no doubt, of course, that some AI companies will eventually merit these stratospheric valuations, but I am not convinced that a pure LLM play ever will.",cluster2_1323f7037f0d;cluster2_2cf7cf24caf4;cluster2_38cdda4c5a76;cluster2_503f6068e63d;cluster2_6febf436d423;cluster2_7a678d1ee722;cluster2_890c1bdf9999;cluster2_d12730d68eb5,https://garymarcus.substack.com/p/alphaproof-alphageometry-chatgpt;https://garymarcus.substack.com/p/are-llms-starting-to-become-a-sentient;https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached;https://garymarcus.substack.com/p/everything-i-warned-about-in-taming;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a;https://garymarcus.substack.com/p/is-this-the-moment-when-the-generative;https://garymarcus.substack.com/p/openais-got-99-problems-and-twitch;https://garymarcus.substack.com/p/top-5-reasons-openai-is-probably;https://garymarcus.substack.com/p/why-the-collapse-of-the-generative
theme3_c5056806d534,agi_timeline,tesla,predictive,prediction,tier_1,2023-02-13,2025-01-20,4,4,2022-12-31;2025-12-31;2029-12-31;this_decade,yes,yes,3,deadline_pushed_out;more_specific_over_time,hardened,unresolved,high,2026-03-02,Timeline horizon extends beyond evaluation date.,https://openai.com/index/introducing-gpt-5/,"Elon Musk, for example, recently said that it was more likely than not that we would see AGI by 2029 .",cluster2_6977692b60f6;cluster2_94e93c1522c8;cluster2_9bdb791d848f;cluster2_a1e9ea1af4cc,https://garymarcus.substack.com/p/25-ai-predictions-for-2025-from-marcus;https://garymarcus.substack.com/p/breaking-news-agi-is-not-imminent;https://garymarcus.substack.com/p/did-googleai-just-snooker-one-of;https://garymarcus.substack.com/p/rethinking-driverless-cars
theme3_e8ec12058b83,agi_timeline,general_ai,predictive,prediction,tier_1,2024-03-10,2025-11-21,7,6,2020-12-31;2027-12-31;within_10_years,yes,yes,2,horizon_changed,softened,unresolved,high,2026-03-02,Timeline horizon extends beyond evaluation date.,https://openai.com/index/introducing-gpt-5/,"It has flitted from fad to fad decade by decade, always promising the moon, and only occasionally delivering” Still true. “In November 2020, Hinton told MIT Technology Review that “deep learning is going to be able to do everything.” I seriously doubt it.",cluster2_3b1b97b8ccf6;cluster2_4bbfb4ff7e9a;cluster2_589cc88115b3;cluster2_7b236f6e9099;cluster2_aeb9331d0864;cluster2_e15a013b83e9,https://garymarcus.substack.com/p/ai-has-sort-of-passed-the-turing;https://garymarcus.substack.com/p/breaking-the-ai-2027-doomsday-scenario;https://garymarcus.substack.com/p/end-of-an-era-openais-agi-readiness;https://garymarcus.substack.com/p/the-ai-2027-scenario-how-realistic;https://garymarcus.substack.com/p/this-one-important-fact-about-current;https://garymarcus.substack.com/p/two-years-later-deep-learning-is
theme3_7e94375ad3bc,regulation_policy,general_ai,predictive,prediction,tier_3,2024-02-21,2025-04-17,3,3,2019-12-31,no,yes,2,less_specific_over_time,softened,mixed,medium,2026-03-02,"Regulatory rollout is real (EU AI Act timetable), but many policy-effect claims remain open and jurisdiction-specific.",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-113,"The capacity to endow machines with the commonsense understanding of history, culture, and human values that would be required to make sensible guardrails has not. § In closing, I will repeat, perhaps not for the first time here, something prescient that Ernest Davis and I wrote at the end of Rebooting AI , on 2019: Gary Marcus keeps hoping that he will live to see an AI that is deeper than mere stochastic mimicry plus Band-Aids.",cluster2_5e890507c7c2;cluster2_9f9bfd52a4fe;cluster2_d2a4ed03395c,https://garymarcus.substack.com/p/dear-elon-musk-here-are-five-things;https://garymarcus.substack.com/p/has-google-gone-too-woke-why-even;https://garymarcus.substack.com/p/the-misguided-backlash-against-californias
