theme3_id,theme_label,target_mode,claim_type_mode,category_mode,falsifiability_tier_mode,first_date,last_date,claim_occurrences,c2_clusters_merged,horizon_values,goalpost_shift_candidate_theme,goalpost_shift_flag,goalpost_shift_score,horizon_shift_type,certainty_shift,status_at_eval,confidence,as_of_date,reason,sources,representative_quote,cluster2_ids,source_urls
theme3_3c553598e33f,agi_timeline,agi,predictive,prediction,tier_2,2023-02-11,2025-12-01,41,40,2023-12-31;2025-12-31;2027-12-31;2029-12-31;near_term;this_decade,yes,yes,4,deadline_pushed_out;less_specific_over_time,hardened,unresolved,high,2026-03-02,Timeline horizon extends beyond evaluation date.,https://openai.com/index/introducing-gpt-5/,"None of the software in either of those systems has survived in modern efforts at “artificial general intelligence”, and I am not sure that LaMDA and its cousins will play any important role in the future of AI, either.",cluster2_00996b6a7f3e;cluster2_0c5017c359d6;cluster2_14691968a363;cluster2_14fdbc2d479a;cluster2_166f12ae45af;cluster2_1ab79ae4134e;cluster2_1bac5a0f886e;cluster2_40b7af64913c;cluster2_4617a30f82e1;cluster2_4d4972f710bb;cluster2_50ff030b0f90;cluster2_57f823c45a22;cluster2_6312fecddd30;cluster2_723391a7e57c;cluster2_758eb339f5b6;cluster2_8151691ce14d;cluster2_844e3ccd35b4;cluster2_84f4053d868b;cluster2_88a974fdd058;cluster2_898d77ac5aa2;cluster2_8b0d3b10ad62;cluster2_8f6a825f544c;cluster2_937a7a9ae2d6;cluster2_9aa09566059a;cluster2_9b022ceb42cf;cluster2_9b93f713b7c3;cluster2_a841bb4a554e;cluster2_b7f9f8cd3cb0;cluster2_ba4ac691cf68;cluster2_bf314b2e61c9;cluster2_bf8b39744567;cluster2_c6db08aebbaa;cluster2_cfe516d528f9;cluster2_db35293f27db;cluster2_dbd684e667a7;cluster2_e9e732acc36d;cluster2_e9fc9ecdcdf0;cluster2_f6ecd58b417b;cluster2_fc3d5f639ef5;cluster2_fccb2fae5093,https://garymarcus.substack.com/p/a-trillion-dollars-is-a-terrible;https://garymarcus.substack.com/p/agi-isnt-coming-in-2025-and-gpt-5;https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime;https://garymarcus.substack.com/p/breaking-openais-efforts-at-pure;https://garymarcus.substack.com/p/clarification-from-ray-kurzweil;https://garymarcus.substack.com/p/ezra-kleins-new-take-on-agi-and-why;https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread;https://garymarcus.substack.com/p/gpt-5-and-irrational-exuberance;https://garymarcus.substack.com/p/gpt-5-overdue-overhyped-and-underwhelming;https://garymarcus.substack.com/p/hard-forked-casey-newtons-distorted;https://garymarcus.substack.com/p/how-china-might-crush-the-west-in;https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated;https://garymarcus.substack.com/p/new-adventures-in-ai-hype-our-language;https://garymarcus.substack.com/p/nonsense-on-stilts;https://garymarcus.substack.com/p/o3-agi-the-art-of-the-demo-and-what;https://garymarcus.substack.com/p/openais-waterloo;https://garymarcus.substack.com/p/rethinking-driverless-cars;https://garymarcus.substack.com/p/scoop-what-former-employees-of-openai;https://garymarcus.substack.com/p/scott-alexanders-misleading-victory;https://garymarcus.substack.com/p/seven-replies-to-the-viral-apple;https://garymarcus.substack.com/p/superhuman-agi-is-not-nigh;https://garymarcus.substack.com/p/the-ai-2027-scenario-how-realistic;https://garymarcus.substack.com/p/the-race-for-ai-supremacy-is-over;https://garymarcus.substack.com/p/the-second-worst-100b-investment;https://garymarcus.substack.com/p/this-one-important-fact-about-current;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/top-5-reasons-openai-is-probably;https://garymarcus.substack.com/p/what-if-generative-ai-turned-out
theme3_f3ab8db480f5,agi_timeline,agi,descriptive,technical_assessment,tier_3,2023-02-15,2025-12-01,26,26,2001-12-31,no,no,0,none,hardened,unresolved,medium,2026-03-02,Downgraded from mixed for high-precision pass: claim remains too broad/ambiguous for decisive adjudication.,https://openai.com/index/introducing-gpt-5/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://www.anthropic.com/system-cards,"But on either story, if you really were close to being first to AGI, wouldn’t you want to stick around and take a big slice of that, with as much control as possible? § My best guess?",cluster2_0a6cf70aaa95;cluster2_0d830dbdafce;cluster2_0f6dcc07312f;cluster2_412429cf39c9;cluster2_428f9bb79bce;cluster2_54f074b037ed;cluster2_570c8d4f372b;cluster2_70b37f0343d0;cluster2_7899beb3bfbc;cluster2_79b3a78c8b31;cluster2_8100f165ff27;cluster2_8d53d626658c;cluster2_9fd8983168e0;cluster2_a0cdbb21fcd4;cluster2_a6b0e52ed944;cluster2_ad2a1fc3cb59;cluster2_b3cab24a6384;cluster2_b4be7c04b93f;cluster2_b869689eb432;cluster2_b90a621af70f;cluster2_bfeb3e79e326;cluster2_d3452e638543;cluster2_db484fe405d0;cluster2_ec8b83706360;cluster2_ef9fef07411e;cluster2_fb52bb01c7fa,https://garymarcus.substack.com/p/a-knockout-blow-for-llms;https://garymarcus.substack.com/p/agi-isnt-coming-in-2025-and-gpt-5;https://garymarcus.substack.com/p/agi-versus-broad-shallow-intelligence;https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime;https://garymarcus.substack.com/p/breaking-gpt-5-news;https://garymarcus.substack.com/p/breaking-the-ai-2027-doomsday-scenario;https://garymarcus.substack.com/p/c39;https://garymarcus.substack.com/p/chatgpt-blows-mapmaking-101;https://garymarcus.substack.com/p/ezra-kleins-new-take-on-agi-and-why;https://garymarcus.substack.com/p/gpt-5-overdue-overhyped-and-underwhelming;https://garymarcus.substack.com/p/humans-versus-machines-the-hallucination;https://garymarcus.substack.com/p/is-agi-the-right-goal-for-ai;https://garymarcus.substack.com/p/is-microsoft-about-to-get-the-deal;https://garymarcus.substack.com/p/openais-waterloo;https://garymarcus.substack.com/p/race-statistics-and-the-persistent;https://garymarcus.substack.com/p/rethinking-driverless-cars;https://garymarcus.substack.com/p/sam-altman-thinks-that-agi-is-basically;https://garymarcus.substack.com/p/the-ai-2027-scenario-how-realistic;https://garymarcus.substack.com/p/the-sam-altman-playbook;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/two-years-later-deep-learning-is
theme3_7d22014cb9c1,openai_governance,openai,predictive,prediction,tier_2,2023-10-17,2026-02-27,21,21,2023-12-31;near_term,yes,yes,3,deadline_pushed_out,hardened,contradicted,medium,2026-03-02,GPT-5 launched publicly; specific deferment/failure framing is contradicted by release evidence.,https://openai.com/index/introducing-gpt-5/;https://openai.com/our-structure/,"If Yann LeCun and I are correct, AI will need genuinely new paradigms to get to the next level in AI, and OpenAI may be no closer to that than anyone else. § If GPT-5 did fail to please, or even if it were just deferred indefinitely (like so many promises that have been about driverless cars), it could have a rapid, deflationary effect on sky-high valuations.",cluster2_0a0af98cec93;cluster2_2578113b4e2e;cluster2_3a30a47e741b;cluster2_3af7213a335f;cluster2_4ccb1c9af8b9;cluster2_4d1408b05644;cluster2_4e56549220ea;cluster2_51054f5db7aa;cluster2_54d1904d91ce;cluster2_66b70047be4d;cluster2_78181e1324f1;cluster2_845ab3a24e71;cluster2_962e55305f45;cluster2_a6e467bb6987;cluster2_b0152b5d1e71;cluster2_cc88222ba771;cluster2_d0519865ab11;cluster2_e7f408dc6074;cluster2_e9ebc7772031;cluster2_ea98392d5e11;cluster2_ed076d0718c5,https://garymarcus.substack.com/p/an-epidemic-of-weirdly-precise-ai;https://garymarcus.substack.com/p/breaking-openai-is-probably-toast;https://garymarcus.substack.com/p/breaking-openais-efforts-at-pure;https://garymarcus.substack.com/p/deepmind-and-openai-achieve-imo-gold;https://garymarcus.substack.com/p/does-openais-new-financing-make-sense;https://garymarcus.substack.com/p/eric-schmidts-risky-bet-on-ai-and;https://garymarcus.substack.com/p/gary-marcus-vs-sam-altman-on-gpt;https://garymarcus.substack.com/p/gpt-5-overdue-overhyped-and-underwhelming;https://garymarcus.substack.com/p/has-sam-altman-gone-full-gary-marcus;https://garymarcus.substack.com/p/hot-take-on-an-ai-catfight;https://garymarcus.substack.com/p/is-the-great-ai-meltdown-imminent;https://garymarcus.substack.com/p/openais-got-99-problems-and-twitch;https://garymarcus.substack.com/p/seven-reasons-why-the-world-should;https://garymarcus.substack.com/p/super-bowl-matchup-anthropic-vs-openai;https://garymarcus.substack.com/p/the-openai-plot-thickens;https://garymarcus.substack.com/p/the-race-for-ai-supremacy-is-over;https://garymarcus.substack.com/p/the-sam-altman-playbook;https://garymarcus.substack.com/p/what-if-gpt-5-didnt-meet-expectations;https://garymarcus.substack.com/p/when-looked-at-carefully-openais;https://garymarcus.substack.com/p/when-will-the-genai-bubble-burst
theme3_4d4764672c3e,agi_timeline,agi,normative,policy,tier_3,2023-02-03,2025-11-21,19,19,2025-12-31;2027-12-31,yes,yes,3,deadline_pushed_out,stable,untestable,high,2026-03-02,Normative/prescriptive theme without a clear falsification condition.,https://openai.com/index/introducing-gpt-5/,"Turns out you don’t need to solve them to make beautiful pictures, or decent if error-filled conversation, but anyone who thinks we can get to AGI without solving abstraction, compositionality, and the type-token distinction is kidding themselves.",cluster2_0db3749461c6;cluster2_163730d5b373;cluster2_34f6d415ebe8;cluster2_4739eed82fa2;cluster2_4dbb9f3d81ca;cluster2_55fca8190abe;cluster2_703e2946c4e4;cluster2_77298d5b3f7c;cluster2_907c68d37d3f;cluster2_a420436653ef;cluster2_aea402b268b7;cluster2_bf22cc4b9ac3;cluster2_dcd6d67defb7;cluster2_deee550407e3;cluster2_e1bbc234ccdd;cluster2_ec7fa966de4e;cluster2_ee1653a75e3b;cluster2_f269fe7319c5;cluster2_fa857ee2ad66,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/a-knockout-blow-for-llms;https://garymarcus.substack.com/p/agi-versus-broad-shallow-intelligence;https://garymarcus.substack.com/p/breaking-the-ai-2027-doomsday-scenario;https://garymarcus.substack.com/p/c39;https://garymarcus.substack.com/p/dear-elon-musk-here-are-five-things;https://garymarcus.substack.com/p/elegant-and-powerful-new-result-that;https://garymarcus.substack.com/p/end-of-an-era-openais-agi-readiness;https://garymarcus.substack.com/p/ezra-kleins-new-take-on-agi-and-why;https://garymarcus.substack.com/p/five-quick-updates-about-that-apple;https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread;https://garymarcus.substack.com/p/happy-groundhog-day-the-ai-edition;https://garymarcus.substack.com/p/hard-forked-casey-newtons-distorted;https://garymarcus.substack.com/p/horse-rides-astronaut;https://garymarcus.substack.com/p/hype-anthropics-dario-amodei-the;https://garymarcus.substack.com/p/peak-bubble;https://garymarcus.substack.com/p/seven-replies-to-the-viral-apple
theme3_e1bb6980432f,reasoning_common_sense,general_ai,descriptive,technical_assessment,tier_2,2023-02-13,2026-01-06,17,17,2012-12-31,no,no,0,none,stable,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,"In the evaluation of computational models, I have always been careful to distinguish two questions (and would urge the fields of AI and cognitive science to do the same): Is a particular model sufficient for its engineering purpose (e.g., for reasoning about the physical world)?",cluster2_00b9b6453624;cluster2_1a315df08ad3;cluster2_2a85ac0fd642;cluster2_39324a4603a6;cluster2_45e0cfe248ec;cluster2_4739454bb728;cluster2_5f92defa1a24;cluster2_a4350b11b0b5;cluster2_a6165eb54986;cluster2_b34f371609f1;cluster2_bc3968d0a051;cluster2_cbdd5eff411c;cluster2_cdae4196aa97;cluster2_f30633127ae4;cluster2_f6b90686ec4d;cluster2_fb0cee45fb61;cluster2_fcd22bc90194,https://garymarcus.substack.com/p/ai-still-lacks-common-sense-70-years;https://garymarcus.substack.com/p/alphaproof-alphageometry-chatgpt;https://garymarcus.substack.com/p/david-beats-go-liath;https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread;https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated;https://garymarcus.substack.com/p/llms-dont-do-formal-reasoning-and;https://garymarcus.substack.com/p/marcus-goes-gaga-over-gates-clip;https://garymarcus.substack.com/p/rethinking-driverless-cars;https://garymarcus.substack.com/p/the-false-glorification-of-yann-lecun;https://garymarcus.substack.com/p/the-new-sport-of-misrepresenting;https://garymarcus.substack.com/p/this-one-important-fact-about-current;https://garymarcus.substack.com/p/what-game-over-for-the-latest-paradigm
theme3_1035472658e9,regulation_policy,regulation,normative,policy,tier_3,2022-05-29,2026-02-26,16,15,2023-12-31,no,no,0,none,stable,untestable,high,2026-03-02,Normative/prescriptive theme without a clear falsification condition.,https://openai.com/index/introducing-gpt-5/,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).",cluster2_04c1fbce74d6;cluster2_731f83099a83;cluster2_7989341649ca;cluster2_7d312d251eb0;cluster2_95d9c5d2eb34;cluster2_9c0c2f55643a;cluster2_affefc0988dc;cluster2_b00ce5937280;cluster2_c48589c180ae;cluster2_ceeba577a4ba;cluster2_dbcc801b46bd;cluster2_ddb9b61cf61c;cluster2_de6a6e662920;cluster2_f99310f5d0f5;cluster2_ff478a2fa2a2,https://garymarcus.substack.com/p/america-and-probably-the-world-stands;https://garymarcus.substack.com/p/an-epic-ai-debateand-why-everyone;https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/breaking-the-ai-2027-doomsday-scenario;https://garymarcus.substack.com/p/give-me-compromise-or-give-me-chaos;https://garymarcus.substack.com/p/hinton-vs-lecun-vs-ng-vs-tegmark;https://garymarcus.substack.com/p/jane-goodall-ai-skeptic;https://garymarcus.substack.com/p/openclaw-aka-moltbot-is-everywhere;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence;https://garymarcus.substack.com/p/two-years-ago-today-in-ai-history;https://garymarcus.substack.com/p/what-if-generative-ai-turned-out;https://garymarcus.substack.com/p/when-it-comes-to-ai-policy-congress;https://garymarcus.substack.com/p/why-californias-ai-safety-bill-should
theme3_45dd29a88dd4,safety_alignment,ai_safety,descriptive,technical_assessment,tier_2,2023-04-02,2026-02-13,15,15,,no,no,0,none,hardened,mixed,medium,2026-03-02,"Safety evidence is bidirectional: capabilities/safeguards improved, but documented residual risk remains.",https://openai.com/blog/gpt-5-system-card/;https://openai.com/index/openai-o1-system-card/;https://deepmind.google/models/model-cards/gemini-3-1-pro/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,A world in which cancer researchers belittled auto safety researchers (or vice versa) is not one I would want to live in.,cluster2_3f37bd7be635;cluster2_41558da79f6d;cluster2_4e7806843743;cluster2_5a53cfc710e5;cluster2_71fd5eca9313;cluster2_8a94f7693a54;cluster2_98ceee38d54f;cluster2_a9940b5175c6;cluster2_b6be51644593;cluster2_be282365bd28;cluster2_c12438e7b1b9;cluster2_c4a5c7a18664;cluster2_d0913220be49;cluster2_ddf4f73e7ad0;cluster2_f47a0206002a,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/an-open-letter-to-fei-fei-li-concerning;https://garymarcus.substack.com/p/chaos-and-tension-at-openai;https://garymarcus.substack.com/p/d28;https://garymarcus.substack.com/p/disturbing-and-misleading-efforts;https://garymarcus.substack.com/p/eric-schmidts-risky-bet-on-ai-and;https://garymarcus.substack.com/p/hype-anthropics-dario-amodei-the;https://garymarcus.substack.com/p/i-am-not-afraid-of-robots-i-am-afraid;https://garymarcus.substack.com/p/irony-irony-laced-with-karma-and;https://garymarcus.substack.com/p/the-first-known-chatbot-associated;https://garymarcus.substack.com/p/top-5-reasons-why-openai-was-probably;https://garymarcus.substack.com/p/what-was-60-minutes-thinking-in-that
theme3_0fb5a9767582,reasoning_common_sense,general_ai,predictive,prediction,tier_3,2023-02-16,2025-07-15,14,13,2020-12-31;2024-12-31;2029-12-31;near_term,yes,no,1,horizon_changed,stable,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,"But I am cautiously optimistic that we’ll do better in the next 75, that once the hype cools off, people will finally dive deeper into neurosymbolic AI, and start to take some important steps.",cluster2_103af516986c;cluster2_1e55723bd863;cluster2_34ca700d9050;cluster2_6ed0f2af2b1c;cluster2_8068b9c730bb;cluster2_83340773ac40;cluster2_8c822a078c74;cluster2_983b856c7667;cluster2_a0cf35746917;cluster2_dcd36087260e;cluster2_dd6e2fbc424f;cluster2_f1d42f72cbb8;cluster2_f674d75649e7,https://garymarcus.substack.com/p/25-ai-predictions-for-2025-from-marcus;https://garymarcus.substack.com/p/agi-will-not-happen-in-your-lifetime;https://garymarcus.substack.com/p/ai-still-lacks-common-sense-70-years;https://garymarcus.substack.com/p/alphageometry2-impressive-accomplishment;https://garymarcus.substack.com/p/dear-elon-musk-here-are-five-things;https://garymarcus.substack.com/p/doug-lenat-1950-2023;https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated;https://garymarcus.substack.com/p/the-latest-ai-scaling-graph-and-why;https://garymarcus.substack.com/p/which-ceo-will-be-the-last-to-see;https://garymarcus.substack.com/p/why-my-pdoom-has-risen-dramatically
theme3_051f3b425aa5,reasoning_common_sense,llms,predictive,prediction,tier_2,2023-02-15,2025-12-30,12,9,2023-12-31;within_10_years,yes,no,1,more_specific_over_time,stable,unresolved,medium,2026-03-02,Theme remains open-ended or lacks a closed measurement endpoint by the as-of date.,https://openai.com/index/introducing-gpt-5/;https://openai.com/blog/gpt-5-system-card/;https://deepmind.google/models/model-cards/;https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf;https://www.anthropic.com/system-cards;https://www-cdn.anthropic.com/07b2a3f9902ee19fe39a36ca638e5ae987bc64dd.pdf,"Trustworthy, general artificial intelligence, aligned with human values, will come, when it does, from systems that are more structured, with more built-in knowledge, and will incorporate at least some degree of explicit tools for reasoning and planning, as well as explicit it knowledge, that are lacking in systems like GPT.",cluster2_1031593ed53f;cluster2_166b90afee4c;cluster2_173455421d76;cluster2_3f62528bf4cc;cluster2_927052c5ef1a;cluster2_931b102f5fdb;cluster2_a1470c8802f3;cluster2_a4b7d7f87e1c;cluster2_fc7a0fb9e93e,https://garymarcus.substack.com/p/a-knockout-blow-for-llms;https://garymarcus.substack.com/p/a-trillion-dollars-is-a-terrible;https://garymarcus.substack.com/p/agi-versus-broad-shallow-intelligence;https://garymarcus.substack.com/p/ai-cartoon-of-the-year-and-five-rereadings;https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread;https://garymarcus.substack.com/p/openais-o3-and-tyler-cowens-misguided;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e
theme3_6243728cd866,openai_governance,openai,descriptive,technical_assessment,tier_2,2023-09-21,2026-01-13,12,12,,no,no,0,none,hardened,contradicted,high,2026-03-02,"Specific GPT-5 pause/defer/failure framing conflicts with documented public GPT-5 release on August 7, 2025.",https://openai.com/index/introducing-gpt-5/;https://openai.com/our-structure/,"Ironically, GPT-5–which is essentially the only thing that the pause letter (if you read it carefully) actually proposed to pause— does actually seem to be on pause , if Sam Altman’s May Senate testimony meant what I think it did.",cluster2_074e22abb29c;cluster2_1495ca5fa102;cluster2_2add04f7fb36;cluster2_4f97c7f27e47;cluster2_5023e5f72ee3;cluster2_569ba24850cf;cluster2_67d51eb2dda8;cluster2_73d648280bd5;cluster2_a4480c60ffe9;cluster2_dcd45db82f67;cluster2_e87a69c65c1d;cluster2_ed7fd5513b78,https://garymarcus.substack.com/p/ai-agents-have-so-far-mostly-been;https://garymarcus.substack.com/p/august-5-2024-a-big-day-in-tech;https://garymarcus.substack.com/p/could-openais-nonprofit-be-forced;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a;https://garymarcus.substack.com/p/hot-take-on-openais-new-gpt-4o;https://garymarcus.substack.com/p/not-consistently-candid;https://garymarcus.substack.com/p/sam-altman-thinks-that-agi-is-basically;https://garymarcus.substack.com/p/self-modern-post-parody;https://garymarcus.substack.com/p/six-months-after-the-pause-letter;https://garymarcus.substack.com/p/sora-cant-handle-the-truth;https://garymarcus.substack.com/p/the-rapid-rise-and-slow-decline-of;https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt
