canonical_id,canonical_claim,canonical_norm,category,first_date,last_date,occurrences,source_posts,source_urls,example_url
c596a7ac8581,"Within a decade, maybe much less, the focus of AI will move from a pure focus on scaling large language models to a focus on integrating them with a wide range of other techniques.",within a decade maybe much less the focus of ai will move from a pure focus on scaling large language models to a focus on integrating them with a wide range of other techniques,forecast,2023-02-15,2025-07-27,2,what-to-expect-when-youre-expecting;what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting
f61868813fc4,"When AGI (artificial intelligence) comes, large language models like GPT-4 may be seen in hindsight as part of the eventual solution, but only as part of the solution . “Scaling” alone—building bigger and models until they absorb the entire internet — will prove useful, but only to a point.",when agi artificial intelligence comes large language models like gpt4 may be seen in hindsight as part of the eventual solution but only as part of the solution scaling alonebuilding bigger and models until they absorb the entire internet will prove useful but only to a point,forecast,2023-02-15,2025-12-01,2,three-years-on-chatgpt-still-isnt;what-to-expect-when-youre-expecting,https://garymarcus.substack.com/p/three-years-on-chatgpt-still-isnt;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting
6b5599877998,"The bottom line is this, something that AI once cherished but has now forgotten: If we are to build AGI, we are going to need to learn something from humans, how they reason and understand the physical world, and how they represent and acquire language and complex concepts.",the bottom line is this something that ai once cherished but has now forgotten if we are to build agi we are going to need to learn something from humans how they reason and understand the physical world and how they represent and acquire language and complex concepts,prescription,2022-05-29,2025-12-17,2,breaking-news-scale-is-all-you-need;the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
c1cd2836c848,"Reliable, trustworthy AI is surely achievable, but we may need to go back to the drawing board to get there.",reliable trustworthy ai is surely achievable but we may need to go back to the drawing board to get there,prescription,2024-04-13,2024-11-09,2,confirmed-llms-have-indeed-reached;evidence-that-llms-are-reaching-a,https://garymarcus.substack.com/p/confirmed-llms-have-indeed-reached;https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a,https://garymarcus.substack.com/p/evidence-that-llms-are-reaching-a
90da952dc2b5,"None of the software in either of those systems has survived in modern efforts at “artificial general intelligence”, and I am not sure that LaMDA and its cousins will play any important role in the future of AI, either.",none of the software in either of those systems has survived in modern efforts at artificial general intelligence and i am not sure that lamda and its cousins will play any important role in the future of ai either,forecast,2023-02-11,2025-04-25,2,new-adventures-in-ai-hype-our-language;nonsense-on-stilts,https://garymarcus.substack.com/p/new-adventures-in-ai-hype-our-language;https://garymarcus.substack.com/p/nonsense-on-stilts,https://garymarcus.substack.com/p/nonsense-on-stilts
4cb98bed9176,"LLMs are not AGI, and (on their own) never will be; scaling alone was never going to be enough.",llms are not agi and on their own never will be scaling alone was never going to be enough,forecast,2024-06-22,2024-08-05,2,august-5-2024-a-big-day-in-tech;the-great-ai-retrenchment-has-begun,https://garymarcus.substack.com/p/august-5-2024-a-big-day-in-tech;https://garymarcus.substack.com/p/the-great-ai-retrenchment-has-begun,https://garymarcus.substack.com/p/the-great-ai-retrenchment-has-begun
9360efdba5d4,"It will remain turbocharged pastiche generator, and a fine tool for brainstorming, and for first drafts, but not trustworthy general intelligence. “Alignment” between what humans want and what machines do will continue to be a critical, unsolved problem .",it will remain turbocharged pastiche generator and a fine tool for brainstorming and for first drafts but not trustworthy general intelligence alignment between what humans want and what machines do will continue to be a critical unsolved problem,forecast,2023-02-15,2025-07-27,2,what-to-expect-when-youre-expecting;what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting
790a14b790f0,"I don’t know when we will get to such machines, but I do know that we don’t have tons of controls over current AI, especially now that people can hook them up to TaskRabbit and real-world software APIs.",i dont know when we will get to such machines but i do know that we dont have tons of controls over current ai especially now that people can hook them up to taskrabbit and realworld software apis,forecast,2023-10-26,2024-02-12,2,a-cern-for-ai-and-the-global-governance;ai-risk-agi-risk,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance;https://garymarcus.substack.com/p/ai-risk-agi-risk,https://garymarcus.substack.com/p/a-cern-for-ai-and-the-global-governance
2c4433e77aa0,"Guardrails (a la ChatGPT) may be in place, but the guardrails will teeter between being too weak (beaten by “jailbreaks”) and too strong (rejecting some perfectly reasonable requests).",guardrails a la chatgpt may be in place but the guardrails will teeter between being too weak beaten by jailbreaks and too strong rejecting some perfectly reasonable requests,forecast,2023-02-15,2025-07-27,2,what-to-expect-when-youre-expecting;what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting
a04aeb13e072,"Fluent hallucinations will still be common , and easily induced, continuing—and in in fact escalating— the risk of large language models being used as a tool for creating plausible-sounding yet false misinformation.",fluent hallucinations will still be common and easily induced continuingand in in fact escalating the risk of large language models being used as a tool for creating plausiblesounding yet false misinformation,forecast,2023-02-15,2025-07-27,2,what-to-expect-when-youre-expecting;what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting;https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting-62e,https://garymarcus.substack.com/p/what-to-expect-when-youre-expecting
6bc754e62e04,"And really, it should lead us back to where the founders of AI started.",and really it should lead us back to where the founders of ai started,prescription,2022-05-29,2025-12-17,2,breaking-news-scale-is-all-you-need;the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
3bc6b5a6c7b8,"AI should certainly not be a slavish replica of human intelligence (which after all is flawed in its own ways, saddled with lousy memory and cognitive bias ).",ai should certainly not be a slavish replica of human intelligence which after all is flawed in its own ways saddled with lousy memory and cognitive bias,prescription,2022-05-29,2025-12-17,2,breaking-news-scale-is-all-you-need;the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/breaking-news-scale-is-all-you-need;https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence,https://garymarcus.substack.com/p/the-new-science-of-alt-intelligence
d9b35be40465,"You're here, in Brooklyn. 2 At the opposite extreme, Yudkowsky claims that AGI will kill us all by default, because superintelligence will by default dominate us and harvest our atoms; this too seems like a rather large assumption that is far from proven, a possibility but not demonstrably a default,",youre here in brooklyn 2 at the opposite extreme yudkowsky claims that agi will kill us all by default because superintelligence will by default dominate us and harvest our atoms this too seems like a rather large assumption that is far from proven a possibility but not demonstrably a default,forecast,2023-08-27,2023-08-27,1,d28,https://garymarcus.substack.com/p/d28,https://garymarcus.substack.com/p/d28
34c103ad8878,"You should be watching to see what the candidates plan to do about fraud and disinformation, as AI contributes to escalation in both.",you should be watching to see what the candidates plan to do about fraud and disinformation as ai contributes to escalation in both,prescription,2024-09-10,2024-09-10,1,what-will-the-candidates-say-about,https://garymarcus.substack.com/p/what-will-the-candidates-say-about,https://garymarcus.substack.com/p/what-will-the-candidates-say-about
a05be87edb32,You don’t need to have a world model (here a representation of the board) at all to parrot these moves.,you dont need to have a world model here a representation of the board at all to parrot these moves,prescription,2025-11-18,2025-11-18,1,generative-ais-crippling-and-widespread,https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread,https://garymarcus.substack.com/p/generative-ais-crippling-and-widespread
6e713721288e,"You can read it on the SpaceX website, which tells us that the merged everything company will be “the most ambitious, vertically-integrated innovation engine on (and off) Earth, with AI, rockets, space-based internet, direct-to-mobile device communications and the world’s foremost real-time information and free speech platform”.",you can read it on the spacex website which tells us that the merged everything company will be the most ambitious verticallyintegrated innovation engine on and off earth with ai rockets spacebased internet directtomobile device communications and the worlds foremost realtime information and free speech platform,forecast,2026-02-03,2026-02-03,1,four-theories-about-the-spacex-xai,https://garymarcus.substack.com/p/four-theories-about-the-spacex-xai,https://garymarcus.substack.com/p/four-theories-about-the-spacex-xai
12545769a881,"Yet nearly all funding has been aimed simply at making them larger. § Despite the often open hostility of Hinton and many of his followers, I have always stuck to my guns, never arguing that we should dispense with deep learning (a commonly-repeated strawman) but always calling, instead, for a hybrid of deep learning and symbols.",yet nearly all funding has been aimed simply at making them larger despite the often open hostility of hinton and many of his followers i have always stuck to my guns never arguing that we should dispense with deep learning a commonlyrepeated strawman but always calling instead for a hybrid of deep learning and symbols,prescription,2025-07-13,2025-07-13,1,how-o3-and-grok-4-accidentally-vindicated,https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated,https://garymarcus.substack.com/p/how-o3-and-grok-4-accidentally-vindicated
faa0b389080c,"Yes, they can generate cool haikus and well-written prose, but they also constantly spew misinformation (even about themselves ), and cannot be trusted when it comes to answering questions about real-world events and phenomena, let alone to provide sound advice about mental health or marriage counseling.",yes they can generate cool haikus and wellwritten prose but they also constantly spew misinformation even about themselves and cannot be trusted when it comes to answering questions about realworld events and phenomena let alone to provide sound advice about mental health or marriage counseling,risk,2023-04-17,2023-04-17,1,stop-treating-ai-models-like-people,https://garymarcus.substack.com/p/stop-treating-ai-models-like-people,https://garymarcus.substack.com/p/stop-treating-ai-models-like-people
4234b67d92cd,"Yes, some people will be employed building data centers; but if the data centers work towards better AI, many others will lose their jobs.",yes some people will be employed building data centers but if the data centers work towards better ai many others will lose their jobs,forecast,2025-01-22,2025-01-22,1,hot-take-on-an-ai-catfight,https://garymarcus.substack.com/p/hot-take-on-an-ai-catfight,https://garymarcus.substack.com/p/hot-take-on-an-ai-catfight
