cluster_id,claim_count,date_first,date_last,pct_supported,pct_mixed,pct_contradicted,pct_untestable,pct_pending
gpt4_overhyped,61,2023-02-11,2025-10-27,50.8,32.8,16.4,0.0,0.0
ai_academic_integrity,40,2022-05-29,2026-02-23,52.5,15.0,0.0,22.5,10.0
ai_coding_overhyped,38,2023-08-14,2026-02-11,50.0,26.3,5.3,5.3,13.2
sora_video_unreliable,34,2023-02-13,2025-10-22,82.4,8.8,0.0,2.9,5.9
china_ai_competition,32,2023-04-09,2026-01-06,37.5,25.0,3.1,15.6,18.8
ai_image_gen_unreliable,17,2023-02-11,2025-08-27,41.2,41.2,5.9,11.8,0.0
ai_job_disruption_overhyped,17,2023-02-12,2026-02-23,52.9,17.6,0.0,11.8,17.6
lecun_criticism,12,2023-02-04,2026-01-06,8.3,33.3,16.7,25.0,16.7
hinton_criticism,9,2023-05-01,2025-08-23,66.7,0.0,0.0,33.3,0.0
ai_scientists_overstate,3,2024-06-22,2024-10-30,0.0,100.0,0.0,0.0,0.0
